,key_5hex_1h,hex_id_5hex,timestamp,electric_C2G,n_electric_C2G,electric_DN,n_electric_DN,total_avail
0,851f1887fffffff_2017-03-13 00:00:00,851f1887fffffff,2017-03-13 00:00:00,0.0,1.0,3.0,37.0,41.0
1,851f1887fffffff_2017-03-13 01:00:00,851f1887fffffff,2017-03-13 01:00:00,0.0,1.0,3.0,39.0,43.0
2,851f1887fffffff_2017-03-13 02:00:00,851f1887fffffff,2017-03-13 02:00:00,0.0,1.0,3.0,39.0,43.0
3,851f1887fffffff_2017-03-13 03:00:00,851f1887fffffff,2017-03-13 03:00:00,0.0,1.0,3.0,40.0,44.0
4,851f1887fffffff_2017-03-13 04:00:00,851f1887fffffff,2017-03-13 04:00:00,0.0,1.0,3.0,38.0,42.0
5,851f1887fffffff_2017-03-13 05:00:00,851f1887fffffff,2017-03-13 05:00:00,0.0,1.0,3.0,39.0,43.0
6,851f1887fffffff_2017-03-13 06:00:00,851f1887fffffff,2017-03-13 06:00:00,0.0,1.0,3.0,37.0,41.0
7,851f1887fffffff_2017-03-13 07:00:00,851f1887fffffff,2017-03-13 07:00:00,0.0,1.0,3.0,31.0,35.0
8,851f1887fffffff_2017-03-13 08:00:00,851f1887fffffff,2017-03-13 08:00:00,0.0,10.0,2.0,32.0,44.0
9,851f1887fffffff_2017-03-13 09:00:00,851f1887fffffff,2017-03-13 09:00:00,0.0,12.0,2.0,33.0,47.0
10,851f1887fffffff_2017-03-13 10:00:00,851f1887fffffff,2017-03-13 10:00:00,0.0,12.0,4.0,28.0,44.0
11,851f1887fffffff_2017-03-13 11:00:00,851f1887fffffff,2017-03-13 11:00:00,0.0,12.0,4.0,21.0,37.0
12,851f1887fffffff_2017-03-13 12:00:00,851f1887fffffff,2017-03-13 12:00:00,0.0,11.0,5.0,20.0,36.0
13,851f1887fffffff_2017-03-13 13:00:00,851f1887fffffff,2017-03-13 13:00:00,0.0,9.0,4.0,18.0,31.0
14,851f1887fffffff_2017-03-13 14:00:00,851f1887fffffff,2017-03-13 14:00:00,0.0,8.0,3.0,18.0,29.0
15,851f1887fffffff_2017-03-13 15:00:00,851f1887fffffff,2017-03-13 15:00:00,0.0,7.0,4.0,22.0,33.0
16,851f1887fffffff_2017-03-13 16:00:00,851f1887fffffff,2017-03-13 16:00:00,0.0,8.0,4.0,24.0,36.0
17,851f1887fffffff_2017-03-13 17:00:00,851f1887fffffff,2017-03-13 17:00:00,0.0,5.0,3.0,26.0,34.0
18,851f1887fffffff_2017-03-13 18:00:00,851f1887fffffff,2017-03-13 18:00:00,0.0,1.0,4.0,27.0,32.0
19,851f1887fffffff_2017-03-13 19:00:00,851f1887fffffff,2017-03-13 19:00:00,0.0,1.0,5.0,34.0,40.0
