,key_6hex_1h,y_hat,y_true,y_hat_adjust,hex_id_6hex,timestamp
0,861f18847ffffff_2017-03-13 00:00:00,-0.009777562174045906,0,0,861f18847ffffff,2017-03-13 00:00:00
1,861f18847ffffff_2017-03-13 01:00:00,0.02381951306794572,0,0,861f18847ffffff,2017-03-13 01:00:00
2,861f18847ffffff_2017-03-13 02:00:00,-0.021762671044644133,0,0,861f18847ffffff,2017-03-13 02:00:00
3,861f18847ffffff_2017-03-13 03:00:00,0.1442570714547492,0,0,861f18847ffffff,2017-03-13 03:00:00
4,861f18847ffffff_2017-03-13 04:00:00,0.059431298979031044,0,0,861f18847ffffff,2017-03-13 04:00:00
5,861f18847ffffff_2017-03-13 05:00:00,0.3179746648491629,0,0,861f18847ffffff,2017-03-13 05:00:00
6,861f18847ffffff_2017-03-13 06:00:00,0.42311819048530275,0,0,861f18847ffffff,2017-03-13 06:00:00
7,861f18847ffffff_2017-03-13 07:00:00,1.8252218003438223,3,2,861f18847ffffff,2017-03-13 07:00:00
8,861f18847ffffff_2017-03-13 08:00:00,2.220708891387147,5,2,861f18847ffffff,2017-03-13 08:00:00
9,861f18847ffffff_2017-03-13 09:00:00,0.47750913473057116,0,0,861f18847ffffff,2017-03-13 09:00:00
10,861f18847ffffff_2017-03-13 10:00:00,0.27098723090091026,0,0,861f18847ffffff,2017-03-13 10:00:00
11,861f18847ffffff_2017-03-13 11:00:00,-0.09527252409214043,0,0,861f18847ffffff,2017-03-13 11:00:00
12,861f18847ffffff_2017-03-13 12:00:00,0.16024041005087908,0,0,861f18847ffffff,2017-03-13 12:00:00
13,861f18847ffffff_2017-03-13 13:00:00,-0.019015561596614994,0,0,861f18847ffffff,2017-03-13 13:00:00
14,861f18847ffffff_2017-03-13 14:00:00,0.03224868198476527,0,0,861f18847ffffff,2017-03-13 14:00:00
15,861f18847ffffff_2017-03-13 15:00:00,0.11823308271561375,0,0,861f18847ffffff,2017-03-13 15:00:00
16,861f18847ffffff_2017-03-13 16:00:00,0.14082375979682613,0,0,861f18847ffffff,2017-03-13 16:00:00
17,861f18847ffffff_2017-03-13 17:00:00,0.414619474383605,0,0,861f18847ffffff,2017-03-13 17:00:00
18,861f18847ffffff_2017-03-13 18:00:00,0.5116530447115137,0,1,861f18847ffffff,2017-03-13 18:00:00
19,861f18847ffffff_2017-03-13 19:00:00,0.12981457040626682,0,0,861f18847ffffff,2017-03-13 19:00:00
20,861f18847ffffff_2017-03-13 20:00:00,-0.04443048738787897,0,0,861f18847ffffff,2017-03-13 20:00:00
21,861f18847ffffff_2017-03-13 21:00:00,-0.06190479631845369,0,0,861f18847ffffff,2017-03-13 21:00:00
22,861f18847ffffff_2017-03-13 22:00:00,0.19993054066349242,0,0,861f18847ffffff,2017-03-13 22:00:00
23,861f18847ffffff_2017-03-13 23:00:00,0.026502739115047247,0,0,861f18847ffffff,2017-03-13 23:00:00
24,861f18847ffffff_2017-03-14 00:00:00,-0.07625640156059715,0,0,861f18847ffffff,2017-03-14 00:00:00
25,861f18847ffffff_2017-03-14 01:00:00,-0.16778579804589672,0,0,861f18847ffffff,2017-03-14 01:00:00
26,861f18847ffffff_2017-03-14 02:00:00,-0.13565591403072158,0,0,861f18847ffffff,2017-03-14 02:00:00
27,861f18847ffffff_2017-03-14 03:00:00,0.051404185515526,0,0,861f18847ffffff,2017-03-14 03:00:00
28,861f18847ffffff_2017-03-14 04:00:00,-0.06640090107416796,0,0,861f18847ffffff,2017-03-14 04:00:00
29,861f18847ffffff_2017-03-14 05:00:00,0.0705959153680859,1,0,861f18847ffffff,2017-03-14 05:00:00
30,861f18847ffffff_2017-03-14 06:00:00,0.3137896454945817,0,0,861f18847ffffff,2017-03-14 06:00:00
31,861f18847ffffff_2017-03-14 07:00:00,1.8179353062771892,4,2,861f18847ffffff,2017-03-14 07:00:00
32,861f18847ffffff_2017-03-14 08:00:00,3.524548217259846,4,4,861f18847ffffff,2017-03-14 08:00:00
33,861f18847ffffff_2017-03-14 09:00:00,1.129502786347469,0,1,861f18847ffffff,2017-03-14 09:00:00
34,861f18847ffffff_2017-03-14 10:00:00,0.30649619646041854,1,0,861f18847ffffff,2017-03-14 10:00:00
35,861f18847ffffff_2017-03-14 11:00:00,-0.11270575199187793,0,0,861f18847ffffff,2017-03-14 11:00:00
36,861f18847ffffff_2017-03-14 12:00:00,0.28929858786627316,0,0,861f18847ffffff,2017-03-14 12:00:00
37,861f18847ffffff_2017-03-14 13:00:00,0.06996388443346085,0,0,861f18847ffffff,2017-03-14 13:00:00
38,861f18847ffffff_2017-03-14 14:00:00,0.021634644355988664,0,0,861f18847ffffff,2017-03-14 14:00:00
39,861f18847ffffff_2017-03-14 15:00:00,0.14032769937973177,0,0,861f18847ffffff,2017-03-14 15:00:00
40,861f18847ffffff_2017-03-14 16:00:00,-0.015012794874444735,1,0,861f18847ffffff,2017-03-14 16:00:00
41,861f18847ffffff_2017-03-14 17:00:00,0.2919497042134931,0,0,861f18847ffffff,2017-03-14 17:00:00
42,861f18847ffffff_2017-03-14 18:00:00,0.05671583770811306,0,0,861f18847ffffff,2017-03-14 18:00:00
43,861f18847ffffff_2017-03-14 19:00:00,0.10231976377815488,1,0,861f18847ffffff,2017-03-14 19:00:00
44,861f18847ffffff_2017-03-14 20:00:00,-0.1619374354946579,0,0,861f18847ffffff,2017-03-14 20:00:00
45,861f18847ffffff_2017-03-14 21:00:00,-0.19434519230871394,0,0,861f18847ffffff,2017-03-14 21:00:00
46,861f18847ffffff_2017-03-14 22:00:00,0.01963914474623618,0,0,861f18847ffffff,2017-03-14 22:00:00
47,861f18847ffffff_2017-03-14 23:00:00,-0.039171859172935364,0,0,861f18847ffffff,2017-03-14 23:00:00
48,861f18847ffffff_2017-03-15 00:00:00,-0.16013504708667914,0,0,861f18847ffffff,2017-03-15 00:00:00
49,861f18847ffffff_2017-03-15 01:00:00,-0.1248744336679185,0,0,861f18847ffffff,2017-03-15 01:00:00
50,861f18847ffffff_2017-03-15 02:00:00,-0.07529030137218007,0,0,861f18847ffffff,2017-03-15 02:00:00
51,861f18847ffffff_2017-03-15 03:00:00,0.10649444776255029,0,0,861f18847ffffff,2017-03-15 03:00:00
52,861f18847ffffff_2017-03-15 04:00:00,-0.07924285016907406,0,0,861f18847ffffff,2017-03-15 04:00:00
53,861f18847ffffff_2017-03-15 05:00:00,0.049160513803598205,1,0,861f18847ffffff,2017-03-15 05:00:00
54,861f18847ffffff_2017-03-15 06:00:00,0.35994594183692374,1,0,861f18847ffffff,2017-03-15 06:00:00
55,861f18847ffffff_2017-03-15 07:00:00,1.6460060602276219,5,2,861f18847ffffff,2017-03-15 07:00:00
56,861f18847ffffff_2017-03-15 08:00:00,4.436669464144874,3,4,861f18847ffffff,2017-03-15 08:00:00
57,861f18847ffffff_2017-03-15 09:00:00,1.7006030938091783,0,2,861f18847ffffff,2017-03-15 09:00:00
58,861f18847ffffff_2017-03-15 10:00:00,0.14294803250216923,1,0,861f18847ffffff,2017-03-15 10:00:00
59,861f18847ffffff_2017-03-15 11:00:00,-0.0746904263778721,1,0,861f18847ffffff,2017-03-15 11:00:00
60,861f18847ffffff_2017-03-15 12:00:00,0.4848311940419652,0,0,861f18847ffffff,2017-03-15 12:00:00
61,861f18847ffffff_2017-03-15 13:00:00,0.2014073391189024,0,0,861f18847ffffff,2017-03-15 13:00:00
62,861f18847ffffff_2017-03-15 14:00:00,0.12876999528178065,0,0,861f18847ffffff,2017-03-15 14:00:00
63,861f18847ffffff_2017-03-15 15:00:00,0.5309311406702447,0,1,861f18847ffffff,2017-03-15 15:00:00
64,861f18847ffffff_2017-03-15 16:00:00,0.2809648556237384,1,0,861f18847ffffff,2017-03-15 16:00:00
65,861f18847ffffff_2017-03-15 17:00:00,0.09412236515372921,0,0,861f18847ffffff,2017-03-15 17:00:00
66,861f18847ffffff_2017-03-15 18:00:00,0.09004228025572997,0,0,861f18847ffffff,2017-03-15 18:00:00
67,861f18847ffffff_2017-03-15 19:00:00,0.2716787813399185,0,0,861f18847ffffff,2017-03-15 19:00:00
68,861f18847ffffff_2017-03-15 20:00:00,0.23487003407637086,0,0,861f18847ffffff,2017-03-15 20:00:00
69,861f18847ffffff_2017-03-15 21:00:00,-0.015021271367320677,0,0,861f18847ffffff,2017-03-15 21:00:00
70,861f18847ffffff_2017-03-15 22:00:00,0.24723315344431568,0,0,861f18847ffffff,2017-03-15 22:00:00
71,861f18847ffffff_2017-03-15 23:00:00,0.040610213915625804,0,0,861f18847ffffff,2017-03-15 23:00:00
72,861f18847ffffff_2017-03-16 00:00:00,-0.16643943974390363,0,0,861f18847ffffff,2017-03-16 00:00:00
73,861f18847ffffff_2017-03-16 01:00:00,-0.16459010891940773,0,0,861f18847ffffff,2017-03-16 01:00:00
74,861f18847ffffff_2017-03-16 02:00:00,-0.152243611655957,0,0,861f18847ffffff,2017-03-16 02:00:00
75,861f18847ffffff_2017-03-16 03:00:00,0.03892711768732254,0,0,861f18847ffffff,2017-03-16 03:00:00
76,861f18847ffffff_2017-03-16 04:00:00,-0.08572193924945071,0,0,861f18847ffffff,2017-03-16 04:00:00
77,861f18847ffffff_2017-03-16 05:00:00,0.07576886785119452,0,0,861f18847ffffff,2017-03-16 05:00:00
78,861f18847ffffff_2017-03-16 06:00:00,0.3866946203506934,0,0,861f18847ffffff,2017-03-16 06:00:00
79,861f18847ffffff_2017-03-16 07:00:00,1.5754813402011272,6,2,861f18847ffffff,2017-03-16 07:00:00
80,861f18847ffffff_2017-03-16 08:00:00,3.1759795871785523,2,3,861f18847ffffff,2017-03-16 08:00:00
81,861f18847ffffff_2017-03-16 09:00:00,0.7015313533816423,0,1,861f18847ffffff,2017-03-16 09:00:00
82,861f18847ffffff_2017-03-16 10:00:00,0.24806464112858628,1,0,861f18847ffffff,2017-03-16 10:00:00
83,861f18847ffffff_2017-03-16 11:00:00,0.007924600524099712,1,0,861f18847ffffff,2017-03-16 11:00:00
84,861f18847ffffff_2017-03-16 12:00:00,0.04243817857671228,1,0,861f18847ffffff,2017-03-16 12:00:00
85,861f18847ffffff_2017-03-16 13:00:00,-0.1447583512873571,0,0,861f18847ffffff,2017-03-16 13:00:00
86,861f18847ffffff_2017-03-16 14:00:00,0.05058506059122675,0,0,861f18847ffffff,2017-03-16 14:00:00
87,861f18847ffffff_2017-03-16 15:00:00,-0.013234888973058467,0,0,861f18847ffffff,2017-03-16 15:00:00
88,861f18847ffffff_2017-03-16 16:00:00,0.009937425210279627,0,0,861f18847ffffff,2017-03-16 16:00:00
89,861f18847ffffff_2017-03-16 17:00:00,0.11579900625616218,0,0,861f18847ffffff,2017-03-16 17:00:00
90,861f18847ffffff_2017-03-16 18:00:00,-0.03754286493551079,1,0,861f18847ffffff,2017-03-16 18:00:00
91,861f18847ffffff_2017-03-16 19:00:00,0.012507344587554259,0,0,861f18847ffffff,2017-03-16 19:00:00
92,861f18847ffffff_2017-03-16 20:00:00,0.5960012306318578,0,1,861f18847ffffff,2017-03-16 20:00:00
93,861f18847ffffff_2017-03-16 21:00:00,0.1765722012470136,0,0,861f18847ffffff,2017-03-16 21:00:00
94,861f18847ffffff_2017-03-16 22:00:00,0.08630340946496834,0,0,861f18847ffffff,2017-03-16 22:00:00
95,861f18847ffffff_2017-03-16 23:00:00,0.03724173531054209,0,0,861f18847ffffff,2017-03-16 23:00:00
96,861f18847ffffff_2017-03-17 00:00:00,0.0007196406492687712,0,0,861f18847ffffff,2017-03-17 00:00:00
97,861f18847ffffff_2017-03-17 01:00:00,-0.13013548829585575,0,0,861f18847ffffff,2017-03-17 01:00:00
98,861f18847ffffff_2017-03-17 02:00:00,-0.07279310532040834,0,0,861f18847ffffff,2017-03-17 02:00:00
99,861f18847ffffff_2017-03-17 03:00:00,0.053428056550789194,0,0,861f18847ffffff,2017-03-17 03:00:00
100,861f18847ffffff_2017-03-17 04:00:00,-0.03002970676014044,0,0,861f18847ffffff,2017-03-17 04:00:00
101,861f18847ffffff_2017-03-17 05:00:00,-0.036739426336102055,0,0,861f18847ffffff,2017-03-17 05:00:00
102,861f18847ffffff_2017-03-17 06:00:00,0.3540758349448661,1,0,861f18847ffffff,2017-03-17 06:00:00
103,861f18847ffffff_2017-03-17 07:00:00,1.181508066210517,2,1,861f18847ffffff,2017-03-17 07:00:00
104,861f18847ffffff_2017-03-17 08:00:00,2.65142371485932,2,3,861f18847ffffff,2017-03-17 08:00:00
