,key_5hex_6h,y_hat,y_true,y_hat_adjust,hex_id_5hex,timestamp
0,851f1d4bfffffff_2017-03-13 00:00:00,259.0,253,259,851f1d4bfffffff,2017-03-13 00:00:00
1,851f1d4bfffffff_2017-03-13 06:00:00,1138.0,1142,1138,851f1d4bfffffff,2017-03-13 06:00:00
2,851f1d4bfffffff_2017-03-13 12:00:00,1342.0,1350,1342,851f1d4bfffffff,2017-03-13 12:00:00
3,851f1d4bfffffff_2017-03-13 18:00:00,1052.0,1067,1052,851f1d4bfffffff,2017-03-13 18:00:00
4,851f1d4bfffffff_2017-03-14 00:00:00,240.0,243,240,851f1d4bfffffff,2017-03-14 00:00:00
5,851f1d4bfffffff_2017-03-14 06:00:00,1127.0,1199,1127,851f1d4bfffffff,2017-03-14 06:00:00
6,851f1d4bfffffff_2017-03-14 12:00:00,1246.0,1356,1246,851f1d4bfffffff,2017-03-14 12:00:00
7,851f1d4bfffffff_2017-03-14 18:00:00,1117.0,1016,1117,851f1d4bfffffff,2017-03-14 18:00:00
8,851f1d4bfffffff_2017-03-15 00:00:00,264.0,250,264,851f1d4bfffffff,2017-03-15 00:00:00
9,851f1d4bfffffff_2017-03-15 06:00:00,1158.0,1061,1158,851f1d4bfffffff,2017-03-15 06:00:00
10,851f1d4bfffffff_2017-03-15 12:00:00,1294.0,1253,1294,851f1d4bfffffff,2017-03-15 12:00:00
11,851f1d4bfffffff_2017-03-15 18:00:00,1097.0,1082,1097,851f1d4bfffffff,2017-03-15 18:00:00
12,851f1d4bfffffff_2017-03-16 00:00:00,272.0,256,272,851f1d4bfffffff,2017-03-16 00:00:00
13,851f1d4bfffffff_2017-03-16 06:00:00,1104.0,1159,1104,851f1d4bfffffff,2017-03-16 06:00:00
14,851f1d4bfffffff_2017-03-16 12:00:00,1290.0,1282,1290,851f1d4bfffffff,2017-03-16 12:00:00
15,851f1d4bfffffff_2017-03-16 18:00:00,1204.0,1125,1204,851f1d4bfffffff,2017-03-16 18:00:00
16,851f1d4bfffffff_2017-03-17 00:00:00,299.0,295,299,851f1d4bfffffff,2017-03-17 00:00:00
17,851f1d4bfffffff_2017-03-17 06:00:00,1218.0,1166,1218,851f1d4bfffffff,2017-03-17 06:00:00
18,851f1d4bfffffff_2017-03-17 12:00:00,1336.0,1334,1336,851f1d4bfffffff,2017-03-17 12:00:00
