,key_6hex_6h,y_hat,y_true,y_hat_adjust,hex_id_6hex,timestamp
0,861f1d48fffffff_2017-03-13 00:00:00,124.0,139,124,861f1d48fffffff,2017-03-13 00:00:00
1,861f1d48fffffff_2017-03-13 06:00:00,661.0,668,661,861f1d48fffffff,2017-03-13 06:00:00
2,861f1d48fffffff_2017-03-13 12:00:00,642.0,677,642,861f1d48fffffff,2017-03-13 12:00:00
3,861f1d48fffffff_2017-03-13 18:00:00,419.0,447,419,861f1d48fffffff,2017-03-13 18:00:00
4,861f1d48fffffff_2017-03-14 00:00:00,124.0,118,124,861f1d48fffffff,2017-03-14 00:00:00
5,861f1d48fffffff_2017-03-14 06:00:00,689.0,661,689,861f1d48fffffff,2017-03-14 06:00:00
6,861f1d48fffffff_2017-03-14 12:00:00,607.0,608,607,861f1d48fffffff,2017-03-14 12:00:00
7,861f1d48fffffff_2017-03-14 18:00:00,516.0,432,516,861f1d48fffffff,2017-03-14 18:00:00
8,861f1d48fffffff_2017-03-15 00:00:00,121.0,126,121,861f1d48fffffff,2017-03-15 00:00:00
9,861f1d48fffffff_2017-03-15 06:00:00,648.0,558,648,861f1d48fffffff,2017-03-15 06:00:00
10,861f1d48fffffff_2017-03-15 12:00:00,569.0,600,569,861f1d48fffffff,2017-03-15 12:00:00
11,861f1d48fffffff_2017-03-15 18:00:00,475.0,434,475,861f1d48fffffff,2017-03-15 18:00:00
12,861f1d48fffffff_2017-03-16 00:00:00,108.0,116,108,861f1d48fffffff,2017-03-16 00:00:00
13,861f1d48fffffff_2017-03-16 06:00:00,630.0,650,630,861f1d48fffffff,2017-03-16 06:00:00
14,861f1d48fffffff_2017-03-16 12:00:00,641.0,601,641,861f1d48fffffff,2017-03-16 12:00:00
15,861f1d48fffffff_2017-03-16 18:00:00,534.0,506,534,861f1d48fffffff,2017-03-16 18:00:00
16,861f1d48fffffff_2017-03-17 00:00:00,116.0,147,116,861f1d48fffffff,2017-03-17 00:00:00
17,861f1d48fffffff_2017-03-17 06:00:00,718.0,618,718,861f1d48fffffff,2017-03-17 06:00:00
18,861f1d48fffffff_2017-03-17 12:00:00,602.0,619,602,861f1d48fffffff,2017-03-17 12:00:00
19,861f1d48fffffff_2017-03-17 18:00:00,651.0,655,651,861f1d48fffffff,2017-03-17 18:00:00
20,861f1d48fffffff_2017-03-18 00:00:00,151.0,181,151,861f1d48fffffff,2017-03-18 00:00:00
21,861f1d48fffffff_2017-03-18 06:00:00,457.0,470,457,861f1d48fffffff,2017-03-18 06:00:00
22,861f1d48fffffff_2017-03-18 12:00:00,703.0,814,703,861f1d48fffffff,2017-03-18 12:00:00
23,861f1d48fffffff_2017-03-18 18:00:00,728.0,734,728,861f1d48fffffff,2017-03-18 18:00:00
24,861f1d48fffffff_2017-03-19 00:00:00,191.0,174,191,861f1d48fffffff,2017-03-19 00:00:00
25,861f1d48fffffff_2017-03-19 06:00:00,432.0,381,432,861f1d48fffffff,2017-03-19 06:00:00
26,861f1d48fffffff_2017-03-19 12:00:00,742.0,748,742,861f1d48fffffff,2017-03-19 12:00:00
27,861f1d48fffffff_2017-03-19 18:00:00,472.0,420,472,861f1d48fffffff,2017-03-19 18:00:00
28,861f1d48fffffff_2017-03-20 00:00:00,125.0,154,125,861f1d48fffffff,2017-03-20 00:00:00
29,861f1d48fffffff_2017-03-20 06:00:00,659.0,694,659,861f1d48fffffff,2017-03-20 06:00:00
30,861f1d48fffffff_2017-03-20 12:00:00,614.0,633,614,861f1d48fffffff,2017-03-20 12:00:00
31,861f1d48fffffff_2017-03-20 18:00:00,418.0,451,418,861f1d48fffffff,2017-03-20 18:00:00
32,861f1d48fffffff_2017-03-21 00:00:00,110.0,108,110,861f1d48fffffff,2017-03-21 00:00:00
33,861f1d4d7ffffff_2017-03-13 00:00:00,67.0,74,67,861f1d4d7ffffff,2017-03-13 00:00:00
34,861f1d4d7ffffff_2017-03-13 06:00:00,262.0,289,262,861f1d4d7ffffff,2017-03-13 06:00:00
35,861f1d4d7ffffff_2017-03-13 12:00:00,342.0,294,342,861f1d4d7ffffff,2017-03-13 12:00:00
36,861f1d4d7ffffff_2017-03-13 18:00:00,400.0,368,400,861f1d4d7ffffff,2017-03-13 18:00:00
37,861f1d4d7ffffff_2017-03-14 00:00:00,64.0,71,64,861f1d4d7ffffff,2017-03-14 00:00:00
38,861f1d4d7ffffff_2017-03-14 06:00:00,270.0,259,270,861f1d4d7ffffff,2017-03-14 06:00:00
39,861f1d4d7ffffff_2017-03-14 12:00:00,314.0,341,314,861f1d4d7ffffff,2017-03-14 12:00:00
40,861f1d4d7ffffff_2017-03-14 18:00:00,392.0,393,392,861f1d4d7ffffff,2017-03-14 18:00:00
41,861f1d4d7ffffff_2017-03-15 00:00:00,71.0,71,71,861f1d4d7ffffff,2017-03-15 00:00:00
42,861f1d4d7ffffff_2017-03-15 06:00:00,268.0,279,268,861f1d4d7ffffff,2017-03-15 06:00:00
43,861f1d4d7ffffff_2017-03-15 12:00:00,312.0,314,312,861f1d4d7ffffff,2017-03-15 12:00:00
44,861f1d4d7ffffff_2017-03-15 18:00:00,368.0,431,368,861f1d4d7ffffff,2017-03-15 18:00:00
45,861f1d4d7ffffff_2017-03-16 00:00:00,67.0,91,67,861f1d4d7ffffff,2017-03-16 00:00:00
46,861f1d4d7ffffff_2017-03-16 06:00:00,292.0,246,292,861f1d4d7ffffff,2017-03-16 06:00:00
47,861f1d4d7ffffff_2017-03-16 12:00:00,343.0,355,343,861f1d4d7ffffff,2017-03-16 12:00:00
48,861f1d4d7ffffff_2017-03-16 18:00:00,434.0,427,434,861f1d4d7ffffff,2017-03-16 18:00:00
49,861f1d4d7ffffff_2017-03-17 00:00:00,89.0,99,89,861f1d4d7ffffff,2017-03-17 00:00:00
50,861f1d4d7ffffff_2017-03-17 06:00:00,256.0,280,256,861f1d4d7ffffff,2017-03-17 06:00:00
51,861f1d4d7ffffff_2017-03-17 12:00:00,395.0,372,395,861f1d4d7ffffff,2017-03-17 12:00:00
52,861f1d4d7ffffff_2017-03-17 18:00:00,523.0,556,523,861f1d4d7ffffff,2017-03-17 18:00:00
53,861f1d4d7ffffff_2017-03-18 00:00:00,135.0,175,135,861f1d4d7ffffff,2017-03-18 00:00:00
54,861f1d4d7ffffff_2017-03-18 06:00:00,176.0,238,176,861f1d4d7ffffff,2017-03-18 06:00:00
55,861f1d4d7ffffff_2017-03-18 12:00:00,400.0,510,400,861f1d4d7ffffff,2017-03-18 12:00:00
56,861f1d4d7ffffff_2017-03-18 18:00:00,558.0,634,558,861f1d4d7ffffff,2017-03-18 18:00:00
57,861f1d4d7ffffff_2017-03-19 00:00:00,201.0,180,201,861f1d4d7ffffff,2017-03-19 00:00:00
58,861f1d4d7ffffff_2017-03-19 06:00:00,207.0,204,207,861f1d4d7ffffff,2017-03-19 06:00:00
59,861f1d4d7ffffff_2017-03-19 12:00:00,434.0,513,434,861f1d4d7ffffff,2017-03-19 12:00:00
60,861f1d4d7ffffff_2017-03-19 18:00:00,390.0,380,390,861f1d4d7ffffff,2017-03-19 18:00:00
