,key_7hex_6h,y_hat,y_true,y_hat_adjust,hex_id_7hex,timestamp
0,871f1d489ffffff_2017-03-13 00:00:00,21.0,23,21,871f1d489ffffff,2017-03-13 00:00:00
1,871f1d489ffffff_2017-03-13 06:00:00,143.0,159,143,871f1d489ffffff,2017-03-13 06:00:00
2,871f1d489ffffff_2017-03-13 12:00:00,142.0,146,142,871f1d489ffffff,2017-03-13 12:00:00
3,871f1d489ffffff_2017-03-13 18:00:00,124.0,122,124,871f1d489ffffff,2017-03-13 18:00:00
4,871f1d489ffffff_2017-03-14 00:00:00,21.0,15,21,871f1d489ffffff,2017-03-14 00:00:00
5,871f1d489ffffff_2017-03-14 06:00:00,148.0,108,148,871f1d489ffffff,2017-03-14 06:00:00
6,871f1d489ffffff_2017-03-14 12:00:00,151.0,131,151,871f1d489ffffff,2017-03-14 12:00:00
7,871f1d489ffffff_2017-03-14 18:00:00,135.0,107,135,871f1d489ffffff,2017-03-14 18:00:00
8,871f1d489ffffff_2017-03-15 00:00:00,16.0,19,16,871f1d489ffffff,2017-03-15 00:00:00
9,871f1d489ffffff_2017-03-15 06:00:00,127.0,105,127,871f1d489ffffff,2017-03-15 06:00:00
10,871f1d489ffffff_2017-03-15 12:00:00,120.0,118,120,871f1d489ffffff,2017-03-15 12:00:00
11,871f1d489ffffff_2017-03-15 18:00:00,140.0,102,140,871f1d489ffffff,2017-03-15 18:00:00
12,871f1d489ffffff_2017-03-16 00:00:00,17.0,11,17,871f1d489ffffff,2017-03-16 00:00:00
13,871f1d489ffffff_2017-03-16 06:00:00,130.0,145,130,871f1d489ffffff,2017-03-16 06:00:00
14,871f1d489ffffff_2017-03-16 12:00:00,147.0,129,147,871f1d489ffffff,2017-03-16 12:00:00
15,871f1d489ffffff_2017-03-16 18:00:00,133.0,139,133,871f1d489ffffff,2017-03-16 18:00:00
16,871f1d489ffffff_2017-03-17 00:00:00,20.0,26,20,871f1d489ffffff,2017-03-17 00:00:00
17,871f1d489ffffff_2017-03-17 06:00:00,151.0,123,151,871f1d489ffffff,2017-03-17 06:00:00
18,871f1d489ffffff_2017-03-17 12:00:00,140.0,126,140,871f1d489ffffff,2017-03-17 12:00:00
19,871f1d489ffffff_2017-03-17 18:00:00,191.0,203,191,871f1d489ffffff,2017-03-17 18:00:00
20,871f1d489ffffff_2017-03-18 00:00:00,38.0,37,38,871f1d489ffffff,2017-03-18 00:00:00
21,871f1d489ffffff_2017-03-18 06:00:00,85.0,106,85,871f1d489ffffff,2017-03-18 06:00:00
22,871f1d489ffffff_2017-03-18 12:00:00,170.0,221,170,871f1d489ffffff,2017-03-18 12:00:00
23,871f1d489ffffff_2017-03-18 18:00:00,195.0,234,195,871f1d489ffffff,2017-03-18 18:00:00
24,871f1d489ffffff_2017-03-19 00:00:00,52.0,41,52,871f1d489ffffff,2017-03-19 00:00:00
25,871f1d489ffffff_2017-03-19 06:00:00,95.0,89,95,871f1d489ffffff,2017-03-19 06:00:00
26,871f1d489ffffff_2017-03-19 12:00:00,193.0,178,193,871f1d489ffffff,2017-03-19 12:00:00
27,871f1d489ffffff_2017-03-19 18:00:00,120.0,120,120,871f1d489ffffff,2017-03-19 18:00:00
28,871f1d489ffffff_2017-03-20 00:00:00,27.0,24,27,871f1d489ffffff,2017-03-20 00:00:00
29,871f1d489ffffff_2017-03-20 06:00:00,155.0,120,155,871f1d489ffffff,2017-03-20 06:00:00
30,871f1d489ffffff_2017-03-20 12:00:00,136.0,142,136,871f1d489ffffff,2017-03-20 12:00:00
31,871f1d489ffffff_2017-03-20 18:00:00,100.0,117,100,871f1d489ffffff,2017-03-20 18:00:00
32,871f1d489ffffff_2017-03-21 00:00:00,17.0,11,17,871f1d489ffffff,2017-03-21 00:00:00
33,871f1d49dffffff_2017-03-13 00:00:00,19.0,26,19,871f1d49dffffff,2017-03-13 00:00:00
34,871f1d49dffffff_2017-03-13 06:00:00,131.0,122,131,871f1d49dffffff,2017-03-13 06:00:00
35,871f1d49dffffff_2017-03-13 12:00:00,147.0,150,147,871f1d49dffffff,2017-03-13 12:00:00
36,871f1d49dffffff_2017-03-13 18:00:00,77.0,95,77,871f1d49dffffff,2017-03-13 18:00:00
37,871f1d49dffffff_2017-03-14 00:00:00,23.0,6,23,871f1d49dffffff,2017-03-14 00:00:00
38,871f1d49dffffff_2017-03-14 06:00:00,134.0,154,134,871f1d49dffffff,2017-03-14 06:00:00
39,871f1d49dffffff_2017-03-14 12:00:00,145.0,148,145,871f1d49dffffff,2017-03-14 12:00:00
40,871f1d49dffffff_2017-03-14 18:00:00,76.0,82,76,871f1d49dffffff,2017-03-14 18:00:00
41,871f1d49dffffff_2017-03-15 00:00:00,22.0,19,22,871f1d49dffffff,2017-03-15 00:00:00
42,871f1d49dffffff_2017-03-15 06:00:00,140.0,124,140,871f1d49dffffff,2017-03-15 06:00:00
43,871f1d49dffffff_2017-03-15 12:00:00,130.0,125,130,871f1d49dffffff,2017-03-15 12:00:00
44,871f1d49dffffff_2017-03-15 18:00:00,87.0,91,87,871f1d49dffffff,2017-03-15 18:00:00
45,871f1d49dffffff_2017-03-16 00:00:00,19.0,21,19,871f1d49dffffff,2017-03-16 00:00:00
46,871f1d49dffffff_2017-03-16 06:00:00,131.0,129,131,871f1d49dffffff,2017-03-16 06:00:00
47,871f1d49dffffff_2017-03-16 12:00:00,146.0,141,146,871f1d49dffffff,2017-03-16 12:00:00
48,871f1d49dffffff_2017-03-16 18:00:00,90.0,88,90,871f1d49dffffff,2017-03-16 18:00:00
49,871f1d49dffffff_2017-03-17 00:00:00,24.0,32,24,871f1d49dffffff,2017-03-17 00:00:00
50,871f1d49dffffff_2017-03-17 06:00:00,136.0,131,136,871f1d49dffffff,2017-03-17 06:00:00
51,871f1d49dffffff_2017-03-17 12:00:00,148.0,136,148,871f1d49dffffff,2017-03-17 12:00:00
52,871f1d49dffffff_2017-03-17 18:00:00,109.0,135,109,871f1d49dffffff,2017-03-17 18:00:00
53,871f1d49dffffff_2017-03-18 00:00:00,35.0,45,35,871f1d49dffffff,2017-03-18 00:00:00
