,key_6hex_6h,y_true,hex_id_6hex,timestamp
1008,861f18847ffffff_2016-12-15 00:00:00,0.0,861f18847ffffff,2016-12-15 00:00:00
1026,861f18847ffffff_2016-12-15 06:00:00,1.0,861f18847ffffff,2016-12-15 06:00:00
1044,861f18847ffffff_2016-12-15 12:00:00,11.0,861f18847ffffff,2016-12-15 12:00:00
1062,861f18847ffffff_2016-12-15 18:00:00,2.0,861f18847ffffff,2016-12-15 18:00:00
1080,861f18847ffffff_2016-12-16 00:00:00,0.0,861f18847ffffff,2016-12-16 00:00:00
1098,861f18847ffffff_2016-12-16 06:00:00,3.0,861f18847ffffff,2016-12-16 06:00:00
1116,861f18847ffffff_2016-12-16 12:00:00,16.0,861f18847ffffff,2016-12-16 12:00:00
1134,861f18847ffffff_2016-12-16 18:00:00,0.0,861f18847ffffff,2016-12-16 18:00:00
1152,861f18847ffffff_2016-12-17 00:00:00,0.0,861f18847ffffff,2016-12-17 00:00:00
1170,861f18847ffffff_2016-12-17 06:00:00,0.0,861f18847ffffff,2016-12-17 06:00:00
1188,861f18847ffffff_2016-12-17 12:00:00,1.0,861f18847ffffff,2016-12-17 12:00:00
1206,861f18847ffffff_2016-12-17 18:00:00,1.0,861f18847ffffff,2016-12-17 18:00:00
1224,861f18847ffffff_2016-12-18 00:00:00,1.0,861f18847ffffff,2016-12-18 00:00:00
1242,861f18847ffffff_2016-12-18 06:00:00,0.0,861f18847ffffff,2016-12-18 06:00:00
1260,861f18847ffffff_2016-12-18 12:00:00,0.0,861f18847ffffff,2016-12-18 12:00:00
1278,861f18847ffffff_2016-12-18 18:00:00,0.0,861f18847ffffff,2016-12-18 18:00:00
1296,861f18847ffffff_2016-12-19 00:00:00,1.0,861f18847ffffff,2016-12-19 00:00:00
1314,861f18847ffffff_2016-12-19 06:00:00,13.0,861f18847ffffff,2016-12-19 06:00:00
1332,861f18847ffffff_2016-12-19 12:00:00,4.0,861f18847ffffff,2016-12-19 12:00:00
1350,861f18847ffffff_2016-12-19 18:00:00,0.0,861f18847ffffff,2016-12-19 18:00:00
1368,861f18847ffffff_2016-12-20 00:00:00,0.0,861f18847ffffff,2016-12-20 00:00:00
1386,861f18847ffffff_2016-12-20 06:00:00,0.0,861f18847ffffff,2016-12-20 06:00:00
1404,861f18847ffffff_2016-12-20 12:00:00,7.0,861f18847ffffff,2016-12-20 12:00:00
1422,861f18847ffffff_2016-12-20 18:00:00,3.0,861f18847ffffff,2016-12-20 18:00:00
1440,861f18847ffffff_2016-12-21 00:00:00,0.0,861f18847ffffff,2016-12-21 00:00:00
1458,861f18847ffffff_2016-12-21 06:00:00,0.0,861f18847ffffff,2016-12-21 06:00:00
1476,861f18847ffffff_2016-12-21 12:00:00,10.0,861f18847ffffff,2016-12-21 12:00:00
1494,861f18847ffffff_2016-12-21 18:00:00,0.0,861f18847ffffff,2016-12-21 18:00:00
1512,861f18847ffffff_2016-12-22 00:00:00,1.0,861f18847ffffff,2016-12-22 00:00:00
1530,861f18847ffffff_2016-12-22 06:00:00,0.0,861f18847ffffff,2016-12-22 06:00:00
1548,861f18847ffffff_2016-12-22 12:00:00,7.0,861f18847ffffff,2016-12-22 12:00:00
1566,861f18847ffffff_2016-12-22 18:00:00,0.0,861f18847ffffff,2016-12-22 18:00:00
1584,861f18847ffffff_2016-12-23 00:00:00,3.0,861f18847ffffff,2016-12-23 00:00:00
1602,861f18847ffffff_2016-12-23 06:00:00,1.0,861f18847ffffff,2016-12-23 06:00:00
1620,861f18847ffffff_2016-12-23 12:00:00,4.0,861f18847ffffff,2016-12-23 12:00:00
1638,861f18847ffffff_2016-12-23 18:00:00,0.0,861f18847ffffff,2016-12-23 18:00:00
1656,861f18847ffffff_2016-12-24 00:00:00,1.0,861f18847ffffff,2016-12-24 00:00:00
1674,861f18847ffffff_2016-12-24 06:00:00,0.0,861f18847ffffff,2016-12-24 06:00:00
1692,861f18847ffffff_2016-12-24 12:00:00,1.0,861f18847ffffff,2016-12-24 12:00:00
1710,861f18847ffffff_2016-12-24 18:00:00,0.0,861f18847ffffff,2016-12-24 18:00:00
1728,861f18847ffffff_2016-12-25 00:00:00,0.0,861f18847ffffff,2016-12-25 00:00:00
1746,861f18847ffffff_2016-12-25 06:00:00,0.0,861f18847ffffff,2016-12-25 06:00:00
1764,861f18847ffffff_2016-12-25 12:00:00,1.0,861f18847ffffff,2016-12-25 12:00:00
1782,861f18847ffffff_2016-12-25 18:00:00,1.0,861f18847ffffff,2016-12-25 18:00:00
1800,861f18847ffffff_2016-12-26 00:00:00,0.0,861f18847ffffff,2016-12-26 00:00:00
1818,861f18847ffffff_2016-12-26 06:00:00,2.0,861f18847ffffff,2016-12-26 06:00:00
1836,861f18847ffffff_2016-12-26 12:00:00,1.0,861f18847ffffff,2016-12-26 12:00:00
1854,861f18847ffffff_2016-12-26 18:00:00,2.0,861f18847ffffff,2016-12-26 18:00:00
1872,861f18847ffffff_2016-12-27 00:00:00,0.0,861f18847ffffff,2016-12-27 00:00:00
1890,861f18847ffffff_2016-12-27 06:00:00,0.0,861f18847ffffff,2016-12-27 06:00:00
1908,861f18847ffffff_2016-12-27 12:00:00,0.0,861f18847ffffff,2016-12-27 12:00:00
1926,861f18847ffffff_2016-12-27 18:00:00,1.0,861f18847ffffff,2016-12-27 18:00:00
1944,861f18847ffffff_2016-12-28 00:00:00,0.0,861f18847ffffff,2016-12-28 00:00:00
1962,861f18847ffffff_2016-12-28 06:00:00,0.0,861f18847ffffff,2016-12-28 06:00:00
1980,861f18847ffffff_2016-12-28 12:00:00,2.0,861f18847ffffff,2016-12-28 12:00:00
1998,861f18847ffffff_2016-12-28 18:00:00,2.0,861f18847ffffff,2016-12-28 18:00:00
2016,861f18847ffffff_2016-12-29 00:00:00,0.0,861f18847ffffff,2016-12-29 00:00:00
2034,861f18847ffffff_2016-12-29 06:00:00,1.0,861f18847ffffff,2016-12-29 06:00:00
2052,861f18847ffffff_2016-12-29 12:00:00,3.0,861f18847ffffff,2016-12-29 12:00:00
2070,861f18847ffffff_2016-12-29 18:00:00,3.0,861f18847ffffff,2016-12-29 18:00:00
2088,861f18847ffffff_2016-12-30 00:00:00,0.0,861f18847ffffff,2016-12-30 00:00:00
2106,861f18847ffffff_2016-12-30 06:00:00,0.0,861f18847ffffff,2016-12-30 06:00:00
2124,861f18847ffffff_2016-12-30 12:00:00,1.0,861f18847ffffff,2016-12-30 12:00:00
2142,861f18847ffffff_2016-12-30 18:00:00,0.0,861f18847ffffff,2016-12-30 18:00:00
2160,861f18847ffffff_2016-12-31 00:00:00,0.0,861f18847ffffff,2016-12-31 00:00:00
2178,861f18847ffffff_2016-12-31 06:00:00,3.0,861f18847ffffff,2016-12-31 06:00:00
2196,861f18847ffffff_2016-12-31 12:00:00,0.0,861f18847ffffff,2016-12-31 12:00:00
2214,861f18847ffffff_2016-12-31 18:00:00,1.0,861f18847ffffff,2016-12-31 18:00:00
2232,861f18847ffffff_2017-01-01 00:00:00,0.0,861f18847ffffff,2017-01-01 00:00:00
2250,861f18847ffffff_2017-01-01 06:00:00,0.0,861f18847ffffff,2017-01-01 06:00:00
2268,861f18847ffffff_2017-01-01 12:00:00,2.0,861f18847ffffff,2017-01-01 12:00:00
2286,861f18847ffffff_2017-01-01 18:00:00,0.0,861f18847ffffff,2017-01-01 18:00:00
2304,861f18847ffffff_2017-01-02 00:00:00,0.0,861f18847ffffff,2017-01-02 00:00:00
2322,861f18847ffffff_2017-01-02 06:00:00,2.0,861f18847ffffff,2017-01-02 06:00:00
2340,861f18847ffffff_2017-01-02 12:00:00,7.0,861f18847ffffff,2017-01-02 12:00:00
2358,861f18847ffffff_2017-01-02 18:00:00,0.0,861f18847ffffff,2017-01-02 18:00:00
2376,861f18847ffffff_2017-01-03 00:00:00,0.0,861f18847ffffff,2017-01-03 00:00:00
2394,861f18847ffffff_2017-01-03 06:00:00,1.0,861f18847ffffff,2017-01-03 06:00:00
2412,861f18847ffffff_2017-01-03 12:00:00,6.0,861f18847ffffff,2017-01-03 12:00:00
2430,861f18847ffffff_2017-01-03 18:00:00,0.0,861f18847ffffff,2017-01-03 18:00:00
2448,861f18847ffffff_2017-01-04 00:00:00,0.0,861f18847ffffff,2017-01-04 00:00:00
2466,861f18847ffffff_2017-01-04 06:00:00,1.0,861f18847ffffff,2017-01-04 06:00:00
2484,861f18847ffffff_2017-01-04 12:00:00,7.0,861f18847ffffff,2017-01-04 12:00:00
2502,861f18847ffffff_2017-01-04 18:00:00,1.0,861f18847ffffff,2017-01-04 18:00:00
2520,861f18847ffffff_2017-01-05 00:00:00,0.0,861f18847ffffff,2017-01-05 00:00:00
2538,861f18847ffffff_2017-01-05 06:00:00,0.0,861f18847ffffff,2017-01-05 06:00:00
2556,861f18847ffffff_2017-01-05 12:00:00,5.0,861f18847ffffff,2017-01-05 12:00:00
