,key_6hex_6h,DN_total_num_rentals,DN_total_length_rentals,DN_avg_length_rentals,C2G_total_num_rentals,C2G_total_length_rentals,C2G_avg_length_rentals,AVG_avg_length_rentals,hex_id_6hex,timestamp
0,861f18847ffffff_2017-02-25 06:00:00,1.0,55.0,55.0,1.0,40.0,40.0,47.5,861f18847ffffff,2017-02-25 06:00:00
1,861f18847ffffff_2017-02-25 12:00:00,4.0,230.0,57.5,1.0,55.0,55.0,57.0,861f18847ffffff,2017-02-25 12:00:00
2,861f18847ffffff_2017-02-26 12:00:00,3.0,185.0,61.66666666666666,1.0,45.0,45.0,57.5,861f18847ffffff,2017-02-26 12:00:00
3,861f18847ffffff_2017-02-27 12:00:00,11.0,685.0,62.27272727272727,5.0,315.0,63.0,62.5,861f18847ffffff,2017-02-27 12:00:00
4,861f18847ffffff_2017-02-27 18:00:00,4.0,155.0,38.75,0.0,0.0,0.0,38.75,861f18847ffffff,2017-02-27 18:00:00
5,861f18847ffffff_2017-02-28 00:00:00,2.0,45.0,22.5,0.0,0.0,0.0,22.5,861f18847ffffff,2017-02-28 00:00:00
6,861f18847ffffff_2017-02-28 06:00:00,1.0,40.0,40.0,1.0,90.0,90.0,65.0,861f18847ffffff,2017-02-28 06:00:00
7,861f18847ffffff_2017-02-28 12:00:00,10.0,505.0,50.5,11.0,530.0,48.18181818181818,49.285714285714285,861f18847ffffff,2017-02-28 12:00:00
8,861f18847ffffff_2017-02-28 18:00:00,6.0,825.0,137.5,1.0,35.0,35.0,122.85714285714286,861f18847ffffff,2017-02-28 18:00:00
9,861f18847ffffff_2017-03-01 12:00:00,12.0,780.0,65.0,5.0,345.0,69.0,66.17647058823529,861f18847ffffff,2017-03-01 12:00:00
10,861f18847ffffff_2017-03-01 18:00:00,7.0,830.0,118.57142857142857,2.0,80.0,40.0,101.11111111111111,861f18847ffffff,2017-03-01 18:00:00
11,861f18847ffffff_2017-03-02 06:00:00,5.0,430.0,86.0,0.0,0.0,0.0,86.0,861f18847ffffff,2017-03-02 06:00:00
12,861f18847ffffff_2017-03-02 12:00:00,18.0,875.0,48.611111111111114,8.0,390.0,48.75,48.65384615384615,861f18847ffffff,2017-03-02 12:00:00
13,861f18847ffffff_2017-03-02 18:00:00,3.0,880.0,293.3333333333333,0.0,0.0,0.0,293.3333333333333,861f18847ffffff,2017-03-02 18:00:00
14,861f18847ffffff_2017-03-03 12:00:00,7.0,295.0,42.142857142857146,3.0,110.0,36.66666666666666,40.5,861f18847ffffff,2017-03-03 12:00:00
15,861f18847ffffff_2017-03-03 18:00:00,2.0,105.0,52.5,0.0,0.0,0.0,52.5,861f18847ffffff,2017-03-03 18:00:00
16,861f18847ffffff_2017-03-04 06:00:00,3.0,245.0,81.66666666666667,0.0,0.0,0.0,81.66666666666667,861f18847ffffff,2017-03-04 06:00:00
17,861f18847ffffff_2017-03-04 12:00:00,2.0,100.0,50.0,0.0,0.0,0.0,50.0,861f18847ffffff,2017-03-04 12:00:00
18,861f18847ffffff_2017-03-04 18:00:00,2.0,110.0,55.0,0.0,0.0,0.0,55.0,861f18847ffffff,2017-03-04 18:00:00
19,861f18847ffffff_2017-03-05 06:00:00,1.0,40.0,40.0,1.0,30.0,30.0,35.0,861f18847ffffff,2017-03-05 06:00:00
20,861f18847ffffff_2017-03-05 12:00:00,2.0,1360.0,680.0,0.0,0.0,0.0,680.0,861f18847ffffff,2017-03-05 12:00:00
21,861f18847ffffff_2017-03-06 06:00:00,2.0,75.0,37.5,1.0,85.0,85.0,53.333333333333336,861f18847ffffff,2017-03-06 06:00:00
22,861f18847ffffff_2017-03-06 12:00:00,14.0,650.0,46.42857142857143,4.0,180.0,45.0,46.111111111111114,861f18847ffffff,2017-03-06 12:00:00
23,861f18847ffffff_2017-03-07 12:00:00,15.0,750.0,50.0,5.0,335.0,67.0,54.25,861f18847ffffff,2017-03-07 12:00:00
24,861f18847ffffff_2017-03-08 06:00:00,2.0,135.0,67.5,1.0,45.0,45.0,60.0,861f18847ffffff,2017-03-08 06:00:00
