,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,h_connecting_arc,haversine_distance_km,hexes_distance_noh,hexes_distance_km
0,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18847ffffff,POINT (13.16971616589165 52.40733368498856),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.16971616589165 52.40733368498856)",0.0,0,0.0
1,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.48853411873143 52.65120726058531)",34.64795186434092,6,36.68185685365302
2,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d497ffffff,POINT (13.21588119001533 52.49657269480686),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.21588119001533 52.49657269480686)",10.404383064747833,2,12.22728561788434
3,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4f7ffffff,POINT (13.44185323329728 52.56223431616588),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.44185323329728 52.56223431616588)",25.22396946939148,4,24.45457123576868
4,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d49fffffff,POINT (13.30559444899624 52.48489011930791),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.30559444899624 52.48489011930791)",12.616556474469899,2,12.22728561788434
5,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b2fffffff,POINT (13.48501065303956 52.46130395682968),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.48501065303956 52.46130395682968)",22.200994296941477,4,24.45457123576868
6,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4cfffffff,POINT (13.62151327599771 52.53848853710102),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.62151327599771 52.53848853710102)",33.8988704701109,6,36.68185685365302
7,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d417ffffff,POINT (13.33032663790643 52.62435681728144),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.33032663790643 52.62435681728144)",26.466197210185516,5,30.56821404471085
8,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4b7ffffff,POINT (13.19412345893519 52.54695973334255),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.19412345893519 52.54695973334255)",15.613458068998751,3,18.34092842682651
9,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d48fffffff,POINT (13.37367627480208 52.52358882193953),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.37367627480208 52.52358882193953)",18.92141146013688,3,18.34092842682651
10,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b77ffffff,POINT (13.57471271892214 52.4494003353978),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.57471271892214 52.4494003353978)",27.854859513434132,5,30.56821404471085
11,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b0fffffff,POINT (13.50654288019152 52.41076791856435),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.50654288019152 52.41076791856435)",22.85050678151418,4,24.45457123576868
12,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b07ffffff,POINT (13.4169015215838 52.42263168480854),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.4169015215838 52.42263168480854)",16.850678489378005,3,18.34092842682651
13,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b37ffffff,POINT (13.32725633154396 52.43442182525305),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.32725633154396 52.43442182525305)",11.099754686380916,2,12.22728561788434
14,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b5fffffff,POINT (13.6858123489642 52.38681944391617),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.6858123489642 52.38681944391617)",35.091032937976195,6,36.68185685365302
15,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.35201703555793 52.57399647913816)",22.266132602227866,4,24.45457123576868
16,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.66441017478797 52.43742299906616)",33.71188472365778,6,36.68185685365302
17,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.26217730882076 52.58568484738209)",20.796075059775564,4,24.45457123576868
18,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d487ffffff,POINT (13.28390146169232 52.5353111379206),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.28390146169232 52.5353111379206)",16.1964801300376,3,18.34092842682651
19,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b27ffffff,POINT (13.39530441655258 52.47313387921053),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.39530441655258 52.47313387921053)",16.95140984938822,3,18.34092842682651
20,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b57ffffff,POINT (13.59617996879917 52.39883051010078),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.59617996879917 52.39883051010078)",28.94683950485451,5,30.56821404471085
21,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18867ffffff,POINT (13.14795621198939 52.45778129900459),True,"LINESTRING (13.16971616589165 52.40733368498856, 13.14795621198939 52.45778129900459)",5.80025520896524,1,6.11364280894217
22,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d41fffffff,POINT (13.42022791909618 52.61262856955771),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.42022791909618 52.61262856955771)",28.43462841366471,5,30.56821404471085
23,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4d7ffffff,POINT (13.46344745765333 52.51179276736553),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.46344745765333 52.51179276736553)",23.042921480912646,4,24.45457123576868
24,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4c7ffffff,POINT (13.53168546056333 52.55039834100136),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.53168546056333 52.55039834100136)",29.223191758877807,5,30.56821404471085
25,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1886fffffff,POINT (13.23760774875245 52.4461383572344),True,"LINESTRING (13.16971616589165 52.40733368498856, 13.23760774875245 52.4461383572344)",6.309415612423598,1,6.11364280894217
