,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,hexes_distance_noh,shortest_path_distance_km
0,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),False,0,0.0
1,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d482ffffff,POINT (13.26755965181566 52.51704777196807),False,6,14.058067999999999
2,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d48effffff,POINT (13.33829738447166 52.52141882174294),False,4,10.875914999999999
3,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d48cffffff,POINT (13.35466368497277 52.53967358270499),False,5,12.387583
4,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d4f2ffffff,POINT (13.42545257283741 52.54399459631815),False,5,11.932037000000005
5,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d48affffff,POINT (13.35730763436909 52.50533197221475),False,3,8.380601
6,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b34ffffff,POINT (13.30826100911115 52.45052307174103),False,3,8.444283
7,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d4f0ffffff,POINT (13.44185323329728 52.56223431616588),False,6,13.942082000000003
8,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18869ffffff,POINT (13.27293102556563 52.4483358777895),False,4,11.050822
9,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),True,1,3.4353460000000005
10,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),False,8,18.383571000000003
11,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),False,2,5.8073429999999995
12,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),True,1,2.880121
13,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d481ffffff,POINT (13.31927922770562 52.53749753655836),False,5,13.973364999999996
