,key_6hex_6h,y_hat,y_true,y_hat_adjust,hex_id_6hex,timestamp
0,861f18847ffffff_2017-03-13 00:00:00,1.8235926317874558,1,2,861f18847ffffff,2017-03-13 00:00:00
1,861f18847ffffff_2017-03-13 06:00:00,16.472161796302615,17,16,861f18847ffffff,2017-03-13 06:00:00
2,861f18847ffffff_2017-03-13 12:00:00,1.8094790989721763,0,2,861f18847ffffff,2017-03-13 12:00:00
3,861f18847ffffff_2017-03-13 18:00:00,0.6528978513423391,1,1,861f18847ffffff,2017-03-13 18:00:00
4,861f18847ffffff_2017-03-14 00:00:00,-0.8118426999128969,1,0,861f18847ffffff,2017-03-14 00:00:00
5,861f18847ffffff_2017-03-14 06:00:00,18.254975220720034,23,18,861f18847ffffff,2017-03-14 06:00:00
6,861f18847ffffff_2017-03-14 12:00:00,3.7575241759365325,3,4,861f18847ffffff,2017-03-14 12:00:00
7,861f18847ffffff_2017-03-14 18:00:00,1.7006066090243106,2,2,861f18847ffffff,2017-03-14 18:00:00
8,861f18847ffffff_2017-03-15 00:00:00,-0.050500466366229624,1,0,861f18847ffffff,2017-03-15 00:00:00
9,861f18847ffffff_2017-03-15 06:00:00,26.06166387732187,21,26,861f18847ffffff,2017-03-15 06:00:00
10,861f18847ffffff_2017-03-15 12:00:00,4.681737281203681,2,5,861f18847ffffff,2017-03-15 12:00:00
11,861f18847ffffff_2017-03-15 18:00:00,3.1089828256333267,0,3,861f18847ffffff,2017-03-15 18:00:00
12,861f18847ffffff_2017-03-16 00:00:00,0.20847709192291042,2,0,861f18847ffffff,2017-03-16 00:00:00
13,861f18847ffffff_2017-03-16 06:00:00,15.611794655489371,21,16,861f18847ffffff,2017-03-16 06:00:00
14,861f18847ffffff_2017-03-16 12:00:00,0.608725283163345,1,1,861f18847ffffff,2017-03-16 12:00:00
15,861f18847ffffff_2017-03-16 18:00:00,4.577174158233152,3,5,861f18847ffffff,2017-03-16 18:00:00
16,861f18847ffffff_2017-03-17 00:00:00,0.8675491676105338,0,1,861f18847ffffff,2017-03-17 00:00:00
17,861f18847ffffff_2017-03-17 06:00:00,14.635658668563769,16,15,861f18847ffffff,2017-03-17 06:00:00
18,861f18847ffffff_2017-03-17 12:00:00,2.8190749691348422,5,3,861f18847ffffff,2017-03-17 12:00:00
19,861f18847ffffff_2017-03-17 18:00:00,2.8598971566368654,1,3,861f18847ffffff,2017-03-17 18:00:00
20,861f18847ffffff_2017-03-18 00:00:00,-0.15777143676023986,0,0,861f18847ffffff,2017-03-18 00:00:00
21,861f18847ffffff_2017-03-18 06:00:00,6.471057702182666,1,6,861f18847ffffff,2017-03-18 06:00:00
22,861f18847ffffff_2017-03-18 12:00:00,5.09099525387547,2,5,861f18847ffffff,2017-03-18 12:00:00
