,key_6hex_6h,y_hat,y_true,y_hat_adjust,hex_id_6hex,timestamp
0,861f18847ffffff_2017-03-13 00:00:00,1.653863013552701,1,2,861f18847ffffff,2017-03-13 00:00:00
1,861f18847ffffff_2017-03-13 06:00:00,16.33190889299418,17,16,861f18847ffffff,2017-03-13 06:00:00
2,861f18847ffffff_2017-03-13 12:00:00,2.164386147025997,0,2,861f18847ffffff,2017-03-13 12:00:00
3,861f18847ffffff_2017-03-13 18:00:00,0.7467433070289067,1,1,861f18847ffffff,2017-03-13 18:00:00
4,861f18847ffffff_2017-03-14 00:00:00,-0.4146831349973432,1,0,861f18847ffffff,2017-03-14 00:00:00
5,861f18847ffffff_2017-03-14 06:00:00,17.905019416816437,23,18,861f18847ffffff,2017-03-14 06:00:00
6,861f18847ffffff_2017-03-14 12:00:00,3.962839376753595,3,4,861f18847ffffff,2017-03-14 12:00:00
7,861f18847ffffff_2017-03-14 18:00:00,1.8441401806586515,2,2,861f18847ffffff,2017-03-14 18:00:00
8,861f18847ffffff_2017-03-15 00:00:00,0.35711718603238474,1,0,861f18847ffffff,2017-03-15 00:00:00
9,861f18847ffffff_2017-03-15 06:00:00,25.94499154770293,21,26,861f18847ffffff,2017-03-15 06:00:00
10,861f18847ffffff_2017-03-15 12:00:00,4.585941134760941,2,5,861f18847ffffff,2017-03-15 12:00:00
11,861f18847ffffff_2017-03-15 18:00:00,2.9858481224454616,0,3,861f18847ffffff,2017-03-15 18:00:00
12,861f18847ffffff_2017-03-16 00:00:00,0.32318167746671733,2,0,861f18847ffffff,2017-03-16 00:00:00
13,861f18847ffffff_2017-03-16 06:00:00,15.776844881985026,21,16,861f18847ffffff,2017-03-16 06:00:00
14,861f18847ffffff_2017-03-16 12:00:00,0.769959705276257,1,1,861f18847ffffff,2017-03-16 12:00:00
15,861f18847ffffff_2017-03-16 18:00:00,4.627117195458662,3,5,861f18847ffffff,2017-03-16 18:00:00
16,861f18847ffffff_2017-03-17 00:00:00,1.1273718355303766,0,1,861f18847ffffff,2017-03-17 00:00:00
17,861f18847ffffff_2017-03-17 06:00:00,15.097566484501527,16,15,861f18847ffffff,2017-03-17 06:00:00
18,861f18847ffffff_2017-03-17 12:00:00,2.6193619222346904,5,3,861f18847ffffff,2017-03-17 12:00:00
19,861f18847ffffff_2017-03-17 18:00:00,2.7701342106950673,1,3,861f18847ffffff,2017-03-17 18:00:00
20,861f18847ffffff_2017-03-18 00:00:00,0.21840447228919224,0,0,861f18847ffffff,2017-03-18 00:00:00
21,861f18847ffffff_2017-03-18 06:00:00,6.055046568176804,1,6,861f18847ffffff,2017-03-18 06:00:00
22,861f18847ffffff_2017-03-18 12:00:00,5.074365021927772,2,5,861f18847ffffff,2017-03-18 12:00:00
23,861f18847ffffff_2017-03-18 18:00:00,2.9729533264219494,2,3,861f18847ffffff,2017-03-18 18:00:00
24,861f18847ffffff_2017-03-19 00:00:00,0.28252256990692715,0,0,861f18847ffffff,2017-03-19 00:00:00
25,861f18847ffffff_2017-03-19 06:00:00,0.8842673329835575,1,1,861f18847ffffff,2017-03-19 06:00:00
26,861f18847ffffff_2017-03-19 12:00:00,2.2259168877577142,3,2,861f18847ffffff,2017-03-19 12:00:00
27,861f18847ffffff_2017-03-19 18:00:00,1.6996726834960145,1,2,861f18847ffffff,2017-03-19 18:00:00
28,861f18847ffffff_2017-03-20 00:00:00,1.745550931303221,1,2,861f18847ffffff,2017-03-20 00:00:00
29,861f18847ffffff_2017-03-20 06:00:00,16.169072577711894,22,16,861f18847ffffff,2017-03-20 06:00:00
30,861f18847ffffff_2017-03-20 12:00:00,1.1477309203020813,3,1,861f18847ffffff,2017-03-20 12:00:00
31,861f18847ffffff_2017-03-20 18:00:00,2.6444225942642974,0,3,861f18847ffffff,2017-03-20 18:00:00
32,861f1886fffffff_2017-03-13 00:00:00,3.0556982365747345,4,3,861f1886fffffff,2017-03-13 00:00:00
33,861f1886fffffff_2017-03-13 06:00:00,39.714145502199734,30,40,861f1886fffffff,2017-03-13 06:00:00
34,861f1886fffffff_2017-03-13 12:00:00,54.788120111574734,50,55,861f1886fffffff,2017-03-13 12:00:00
35,861f1886fffffff_2017-03-13 18:00:00,34.093051752199734,37,34,861f1886fffffff,2017-03-13 18:00:00
36,861f1886fffffff_2017-03-14 00:00:00,4.8132665959497345,4,5,861f1886fffffff,2017-03-14 00:00:00
37,861f1886fffffff_2017-03-14 06:00:00,27.317283472170438,36,27,861f1886fffffff,2017-03-14 06:00:00
38,861f1886fffffff_2017-03-14 12:00:00,62.868442377199734,53,63,861f1886fffffff,2017-03-14 12:00:00
39,861f1886fffffff_2017-03-14 18:00:00,50.217075189699734,49,50,861f1886fffffff,2017-03-14 18:00:00
40,861f1886fffffff_2017-03-15 00:00:00,5.493553003420438,5,5,861f1886fffffff,2017-03-15 00:00:00
41,861f1886fffffff_2017-03-15 06:00:00,33.378208002199734,49,33,861f1886fffffff,2017-03-15 06:00:00
42,861f1886fffffff_2017-03-15 12:00:00,64.24393065844973,65,64,861f1886fffffff,2017-03-15 12:00:00
43,861f1886fffffff_2017-03-15 18:00:00,47.047153314699734,53,47,861f1886fffffff,2017-03-15 18:00:00
44,861f1886fffffff_2017-03-16 00:00:00,8.792270502199734,7,9,861f1886fffffff,2017-03-16 00:00:00
45,861f1886fffffff_2017-03-16 06:00:00,53.703403314699734,30,54,861f1886fffffff,2017-03-16 06:00:00
46,861f1886fffffff_2017-03-16 12:00:00,57.391879877199734,62,57,861f1886fffffff,2017-03-16 12:00:00
47,861f1886fffffff_2017-03-16 18:00:00,52.542758783449734,59,53,861f1886fffffff,2017-03-16 18:00:00
48,861f1886fffffff_2017-03-17 00:00:00,10.890903314699734,7,11,861f1886fffffff,2017-03-17 00:00:00
49,861f1886fffffff_2017-03-17 06:00:00,27.347934564699734,35,27,861f1886fffffff,2017-03-17 06:00:00
50,861f1886fffffff_2017-03-17 12:00:00,71.33597167407473,50,71,861f1886fffffff,2017-03-17 12:00:00
51,861f1886fffffff_2017-03-17 18:00:00,55.854282220949734,63,56,861f1886fffffff,2017-03-17 18:00:00
52,861f1886fffffff_2017-03-18 00:00:00,18.008445581545438,7,18,861f1886fffffff,2017-03-18 00:00:00
53,861f1886fffffff_2017-03-18 06:00:00,35.375522455324734,44,35,861f1886fffffff,2017-03-18 06:00:00
54,861f1886fffffff_2017-03-18 12:00:00,69.47488768969973,81,69,861f1886fffffff,2017-03-18 12:00:00
55,861f1886fffffff_2017-03-18 18:00:00,59.523715814699734,53,60,861f1886fffffff,2017-03-18 18:00:00
56,861f1886fffffff_2017-03-19 00:00:00,9.157626947512234,8,9,861f1886fffffff,2017-03-19 00:00:00
57,861f1886fffffff_2017-03-19 06:00:00,33.210727533449734,37,33,861f1886fffffff,2017-03-19 06:00:00
58,861f1886fffffff_2017-03-19 12:00:00,59.655551752199734,70,60,861f1886fffffff,2017-03-19 12:00:00
59,861f1886fffffff_2017-03-19 18:00:00,33.303500970949734,43,33,861f1886fffffff,2017-03-19 18:00:00
60,861f1886fffffff_2017-03-20 00:00:00,7.0609472600122345,1,7,861f1886fffffff,2017-03-20 00:00:00
61,861f1886fffffff_2017-03-20 06:00:00,40.687290033449734,22,41,861f1886fffffff,2017-03-20 06:00:00
62,861f1886fffffff_2017-03-20 12:00:00,55.262973627199734,39,55,861f1886fffffff,2017-03-20 12:00:00
63,861f1886fffffff_2017-03-20 18:00:00,38.202915033449734,46,38,861f1886fffffff,2017-03-20 18:00:00
