,key_6hex_1h,y_hat,y_true,y_hat_adjust,hex_id_6hex,timestamp
0,861f18847ffffff_2017-03-13 00:00:00,0.6860969119930753,0,1,861f18847ffffff,2017-03-13 00:00:00
1,861f18847ffffff_2017-03-13 01:00:00,0.16606056074093534,0,0,861f18847ffffff,2017-03-13 01:00:00
2,861f18847ffffff_2017-03-13 02:00:00,0.18083106855343534,0,0,861f18847ffffff,2017-03-13 02:00:00
3,861f18847ffffff_2017-03-13 03:00:00,0.30143653730343534,0,0,861f18847ffffff,2017-03-13 03:00:00
4,861f18847ffffff_2017-03-13 04:00:00,0.22221290449093534,0,0,861f18847ffffff,2017-03-13 04:00:00
5,861f18847ffffff_2017-03-13 05:00:00,0.31592099167016474,1,0,861f18847ffffff,2017-03-13 05:00:00
6,861f18847ffffff_2017-03-13 06:00:00,1.232580999732497,0,1,861f18847ffffff,2017-03-13 06:00:00
7,861f18847ffffff_2017-03-13 07:00:00,5.237524927170462,7,5,861f18847ffffff,2017-03-13 07:00:00
8,861f18847ffffff_2017-03-13 08:00:00,5.349208603633513,7,5,861f18847ffffff,2017-03-13 08:00:00
9,861f18847ffffff_2017-03-13 09:00:00,0.9839097658539362,3,1,861f18847ffffff,2017-03-13 09:00:00
10,861f18847ffffff_2017-03-13 10:00:00,0.35336002579249404,0,0,861f18847ffffff,2017-03-13 10:00:00
11,861f18847ffffff_2017-03-13 11:00:00,0.8452960661474223,0,1,861f18847ffffff,2017-03-13 11:00:00
12,861f18847ffffff_2017-03-13 12:00:00,0.7303887137670576,0,1,861f18847ffffff,2017-03-13 12:00:00
13,861f18847ffffff_2017-03-13 13:00:00,0.9848934007299858,0,1,861f18847ffffff,2017-03-13 13:00:00
14,861f18847ffffff_2017-03-13 14:00:00,0.5823910010399115,0,1,861f18847ffffff,2017-03-13 14:00:00
15,861f18847ffffff_2017-03-13 15:00:00,0.5165956327465927,0,1,861f18847ffffff,2017-03-13 15:00:00
16,861f18847ffffff_2017-03-13 16:00:00,0.48420428711494906,0,0,861f18847ffffff,2017-03-13 16:00:00
17,861f18847ffffff_2017-03-13 17:00:00,0.425280255569826,0,0,861f18847ffffff,2017-03-13 17:00:00
18,861f18847ffffff_2017-03-13 18:00:00,0.8582927590787309,0,1,861f18847ffffff,2017-03-13 18:00:00
19,861f18847ffffff_2017-03-13 19:00:00,0.4290241678315939,0,0,861f18847ffffff,2017-03-13 19:00:00
20,861f18847ffffff_2017-03-13 20:00:00,-0.04807692975813482,0,0,861f18847ffffff,2017-03-13 20:00:00
21,861f18847ffffff_2017-03-13 21:00:00,0.06971238089623732,0,0,861f18847ffffff,2017-03-13 21:00:00
22,861f18847ffffff_2017-03-13 22:00:00,0.439646784487115,0,0,861f18847ffffff,2017-03-13 22:00:00
23,861f18847ffffff_2017-03-13 23:00:00,0.26396095136593534,1,0,861f18847ffffff,2017-03-13 23:00:00
24,861f18847ffffff_2017-03-14 00:00:00,0.12076528192480585,0,0,861f18847ffffff,2017-03-14 00:00:00
