,key_5hex_6h,y_hat,y_true,y_hat_adjust,hex_id_5hex,timestamp
0,851f1d4bfffffff_2017-03-13 00:00:00,493.0,459,493,851f1d4bfffffff,2017-03-13 00:00:00
1,851f1d4bfffffff_2017-03-13 06:00:00,2316.0,2291,2316,851f1d4bfffffff,2017-03-13 06:00:00
2,851f1d4bfffffff_2017-03-13 12:00:00,2842.0,2548,2842,851f1d4bfffffff,2017-03-13 12:00:00
3,851f1d4bfffffff_2017-03-13 18:00:00,2093.0,1751,2093,851f1d4bfffffff,2017-03-13 18:00:00
4,851f1d4bfffffff_2017-03-14 00:00:00,447.0,431,447,851f1d4bfffffff,2017-03-14 00:00:00
5,851f1d4bfffffff_2017-03-14 06:00:00,2295.0,2317,2295,851f1d4bfffffff,2017-03-14 06:00:00
6,851f1d4bfffffff_2017-03-14 12:00:00,2499.0,2626,2499,851f1d4bfffffff,2017-03-14 12:00:00
7,851f1d4bfffffff_2017-03-14 18:00:00,2102.0,2138,2102,851f1d4bfffffff,2017-03-14 18:00:00
8,851f1d4bfffffff_2017-03-15 00:00:00,480.0,430,480,851f1d4bfffffff,2017-03-15 00:00:00
9,851f1d4bfffffff_2017-03-15 06:00:00,2269.0,2193,2269,851f1d4bfffffff,2017-03-15 06:00:00
10,851f1d4bfffffff_2017-03-15 12:00:00,2595.0,2582,2595,851f1d4bfffffff,2017-03-15 12:00:00
11,851f1d4bfffffff_2017-03-15 18:00:00,2201.0,2182,2201,851f1d4bfffffff,2017-03-15 18:00:00
12,851f1d4bfffffff_2017-03-16 00:00:00,497.0,441,497,851f1d4bfffffff,2017-03-16 00:00:00
13,851f1d4bfffffff_2017-03-16 06:00:00,2252.0,2269,2252,851f1d4bfffffff,2017-03-16 06:00:00
14,851f1d4bfffffff_2017-03-16 12:00:00,2585.0,2619,2585,851f1d4bfffffff,2017-03-16 12:00:00
15,851f1d4bfffffff_2017-03-16 18:00:00,2330.0,2220,2330,851f1d4bfffffff,2017-03-16 18:00:00
16,851f1d4bfffffff_2017-03-17 00:00:00,539.0,504,539,851f1d4bfffffff,2017-03-17 00:00:00
17,851f1d4bfffffff_2017-03-17 06:00:00,2387.0,2355,2387,851f1d4bfffffff,2017-03-17 06:00:00
18,851f1d4bfffffff_2017-03-17 12:00:00,2796.0,2853,2796,851f1d4bfffffff,2017-03-17 12:00:00
19,851f1d4bfffffff_2017-03-17 18:00:00,2771.0,2892,2771,851f1d4bfffffff,2017-03-17 18:00:00
20,851f1d4bfffffff_2017-03-18 00:00:00,659.0,728,659,851f1d4bfffffff,2017-03-18 00:00:00
21,851f1d4bfffffff_2017-03-18 06:00:00,1818.0,1947,1818,851f1d4bfffffff,2017-03-18 06:00:00
22,851f1d4bfffffff_2017-03-18 12:00:00,3215.0,3429,3215,851f1d4bfffffff,2017-03-18 12:00:00
23,851f1d4bfffffff_2017-03-18 18:00:00,3137.0,3135,3137,851f1d4bfffffff,2017-03-18 18:00:00
24,851f1d4bfffffff_2017-03-19 00:00:00,863.0,806,863,851f1d4bfffffff,2017-03-19 00:00:00
25,851f1d4bfffffff_2017-03-19 06:00:00,1459.0,1498,1459,851f1d4bfffffff,2017-03-19 06:00:00
26,851f1d4bfffffff_2017-03-19 12:00:00,3106.0,3138,3106,851f1d4bfffffff,2017-03-19 12:00:00
27,851f1d4bfffffff_2017-03-19 18:00:00,1925.0,1907,1925,851f1d4bfffffff,2017-03-19 18:00:00
28,851f1d4bfffffff_2017-03-20 00:00:00,491.0,509,491,851f1d4bfffffff,2017-03-20 00:00:00
