,key_6hex_1h,y_hat,y_true,y_hat_adjust,hex_id_6hex,timestamp
0,861f1d48fffffff_2017-03-13 00:00:00,87.0,45,87,861f1d48fffffff,2017-03-13 00:00:00
1,861f1d48fffffff_2017-03-13 01:00:00,64.0,28,64,861f1d48fffffff,2017-03-13 01:00:00
2,861f1d48fffffff_2017-03-13 02:00:00,39.0,24,39,861f1d48fffffff,2017-03-13 02:00:00
3,861f1d48fffffff_2017-03-13 03:00:00,45.0,35,45,861f1d48fffffff,2017-03-13 03:00:00
4,861f1d48fffffff_2017-03-13 04:00:00,49.0,37,49,861f1d48fffffff,2017-03-13 04:00:00
5,861f1d48fffffff_2017-03-13 05:00:00,67.0,92,67,861f1d48fffffff,2017-03-13 05:00:00
6,861f1d48fffffff_2017-03-13 06:00:00,102.0,137,102,861f1d48fffffff,2017-03-13 06:00:00
7,861f1d48fffffff_2017-03-13 07:00:00,235.0,257,235,861f1d48fffffff,2017-03-13 07:00:00
8,861f1d48fffffff_2017-03-13 08:00:00,307.0,355,307,861f1d48fffffff,2017-03-13 08:00:00
9,861f1d48fffffff_2017-03-13 09:00:00,242.0,215,242,861f1d48fffffff,2017-03-13 09:00:00
10,861f1d48fffffff_2017-03-13 10:00:00,207.0,180,207,861f1d48fffffff,2017-03-13 10:00:00
11,861f1d48fffffff_2017-03-13 11:00:00,235.0,218,235,861f1d48fffffff,2017-03-13 11:00:00
12,861f1d48fffffff_2017-03-13 12:00:00,242.0,202,242,861f1d48fffffff,2017-03-13 12:00:00
13,861f1d48fffffff_2017-03-13 13:00:00,234.0,197,234,861f1d48fffffff,2017-03-13 13:00:00
14,861f1d48fffffff_2017-03-13 14:00:00,233.0,214,233,861f1d48fffffff,2017-03-13 14:00:00
15,861f1d48fffffff_2017-03-13 15:00:00,268.0,197,268,861f1d48fffffff,2017-03-13 15:00:00
16,861f1d48fffffff_2017-03-13 16:00:00,246.0,226,246,861f1d48fffffff,2017-03-13 16:00:00
17,861f1d48fffffff_2017-03-13 17:00:00,235.0,250,235,861f1d48fffffff,2017-03-13 17:00:00
18,861f1d48fffffff_2017-03-13 18:00:00,263.0,302,263,861f1d48fffffff,2017-03-13 18:00:00
19,861f1d48fffffff_2017-03-13 19:00:00,209.0,147,209,861f1d48fffffff,2017-03-13 19:00:00
20,861f1d48fffffff_2017-03-13 20:00:00,156.0,85,156,861f1d48fffffff,2017-03-13 20:00:00
21,861f1d48fffffff_2017-03-13 21:00:00,151.0,101,151,861f1d48fffffff,2017-03-13 21:00:00
22,861f1d48fffffff_2017-03-13 22:00:00,90.0,111,90,861f1d48fffffff,2017-03-13 22:00:00
23,861f1d48fffffff_2017-03-13 23:00:00,81.0,70,81,861f1d48fffffff,2017-03-13 23:00:00
24,861f1d48fffffff_2017-03-14 00:00:00,41.0,33,41,861f1d48fffffff,2017-03-14 00:00:00
25,861f1d48fffffff_2017-03-14 01:00:00,32.0,11,32,861f1d48fffffff,2017-03-14 01:00:00
26,861f1d48fffffff_2017-03-14 02:00:00,11.0,17,11,861f1d48fffffff,2017-03-14 02:00:00
27,861f1d48fffffff_2017-03-14 03:00:00,27.0,34,27,861f1d48fffffff,2017-03-14 03:00:00
28,861f1d48fffffff_2017-03-14 04:00:00,40.0,40,40,861f1d48fffffff,2017-03-14 04:00:00
29,861f1d48fffffff_2017-03-14 05:00:00,87.0,75,87,861f1d48fffffff,2017-03-14 05:00:00
30,861f1d48fffffff_2017-03-14 06:00:00,141.0,127,141,861f1d48fffffff,2017-03-14 06:00:00
31,861f1d48fffffff_2017-03-14 07:00:00,285.0,247,285,861f1d48fffffff,2017-03-14 07:00:00
32,861f1d48fffffff_2017-03-14 08:00:00,361.0,329,361,861f1d48fffffff,2017-03-14 08:00:00
33,861f1d48fffffff_2017-03-14 09:00:00,243.0,237,243,861f1d48fffffff,2017-03-14 09:00:00
34,861f1d48fffffff_2017-03-14 10:00:00,185.0,193,185,861f1d48fffffff,2017-03-14 10:00:00
35,861f1d48fffffff_2017-03-14 11:00:00,229.0,213,229,861f1d48fffffff,2017-03-14 11:00:00
36,861f1d48fffffff_2017-03-14 12:00:00,202.0,219,202,861f1d48fffffff,2017-03-14 12:00:00
37,861f1d48fffffff_2017-03-14 13:00:00,215.0,184,215,861f1d48fffffff,2017-03-14 13:00:00
38,861f1d48fffffff_2017-03-14 14:00:00,219.0,223,219,861f1d48fffffff,2017-03-14 14:00:00
39,861f1d48fffffff_2017-03-14 15:00:00,197.0,217,197,861f1d48fffffff,2017-03-14 15:00:00
40,861f1d48fffffff_2017-03-14 16:00:00,233.0,205,233,861f1d48fffffff,2017-03-14 16:00:00
41,861f1d48fffffff_2017-03-14 17:00:00,252.0,241,252,861f1d48fffffff,2017-03-14 17:00:00
42,861f1d48fffffff_2017-03-14 18:00:00,283.0,265,283,861f1d48fffffff,2017-03-14 18:00:00
43,861f1d48fffffff_2017-03-14 19:00:00,220.0,239,220,861f1d48fffffff,2017-03-14 19:00:00
44,861f1d48fffffff_2017-03-14 20:00:00,159.0,158,159,861f1d48fffffff,2017-03-14 20:00:00
45,861f1d48fffffff_2017-03-14 21:00:00,120.0,145,120,861f1d48fffffff,2017-03-14 21:00:00
46,861f1d48fffffff_2017-03-14 22:00:00,106.0,119,106,861f1d48fffffff,2017-03-14 22:00:00
47,861f1d48fffffff_2017-03-14 23:00:00,76.0,83,76,861f1d48fffffff,2017-03-14 23:00:00
48,861f1d48fffffff_2017-03-15 00:00:00,55.0,55,55,861f1d48fffffff,2017-03-15 00:00:00
49,861f1d48fffffff_2017-03-15 01:00:00,27.0,24,27,861f1d48fffffff,2017-03-15 01:00:00
50,861f1d48fffffff_2017-03-15 02:00:00,11.0,8,11,861f1d48fffffff,2017-03-15 02:00:00
51,861f1d48fffffff_2017-03-15 03:00:00,22.0,22,22,861f1d48fffffff,2017-03-15 03:00:00
52,861f1d48fffffff_2017-03-15 04:00:00,36.0,40,36,861f1d48fffffff,2017-03-15 04:00:00
53,861f1d48fffffff_2017-03-15 05:00:00,65.0,58,65,861f1d48fffffff,2017-03-15 05:00:00
54,861f1d48fffffff_2017-03-15 06:00:00,120.0,118,120,861f1d48fffffff,2017-03-15 06:00:00
55,861f1d48fffffff_2017-03-15 07:00:00,234.0,251,234,861f1d48fffffff,2017-03-15 07:00:00
56,861f1d48fffffff_2017-03-15 08:00:00,305.0,271,305,861f1d48fffffff,2017-03-15 08:00:00
57,861f1d48fffffff_2017-03-15 09:00:00,235.0,231,235,861f1d48fffffff,2017-03-15 09:00:00
