,key_6hex_1h,y_hat,y_true,y_hat_adjust,hex_id_6hex,timestamp
0,861f18847ffffff_2017-03-13 00:00:00,0.4799156589981888,0,0,861f18847ffffff,2017-03-13 00:00:00
1,861f18847ffffff_2017-03-13 01:00:00,0.109252679286996,0,0,861f18847ffffff,2017-03-13 01:00:00
2,861f18847ffffff_2017-03-13 02:00:00,0.18934152199527743,0,0,861f18847ffffff,2017-03-13 02:00:00
3,861f18847ffffff_2017-03-13 03:00:00,0.42359869803343553,0,0,861f18847ffffff,2017-03-13 03:00:00
4,861f18847ffffff_2017-03-13 04:00:00,0.1299767714193717,0,0,861f18847ffffff,2017-03-13 04:00:00
5,861f18847ffffff_2017-03-13 05:00:00,0.3749256690768229,1,0,861f18847ffffff,2017-03-13 05:00:00
6,861f18847ffffff_2017-03-13 06:00:00,1.4977657788555603,0,1,861f18847ffffff,2017-03-13 06:00:00
7,861f18847ffffff_2017-03-13 07:00:00,5.089007042603334,7,5,861f18847ffffff,2017-03-13 07:00:00
8,861f18847ffffff_2017-03-13 08:00:00,6.66074513766468,7,7,861f18847ffffff,2017-03-13 08:00:00
9,861f18847ffffff_2017-03-13 09:00:00,1.6503044814331664,3,2,861f18847ffffff,2017-03-13 09:00:00
10,861f18847ffffff_2017-03-13 10:00:00,0.3967526377791872,0,0,861f18847ffffff,2017-03-13 10:00:00
11,861f18847ffffff_2017-03-13 11:00:00,0.703763959442296,0,1,861f18847ffffff,2017-03-13 11:00:00
12,861f18847ffffff_2017-03-13 12:00:00,0.7153972596019208,0,1,861f18847ffffff,2017-03-13 12:00:00
13,861f18847ffffff_2017-03-13 13:00:00,0.5071943183551662,0,1,861f18847ffffff,2017-03-13 13:00:00
14,861f18847ffffff_2017-03-13 14:00:00,0.24365157578445018,0,0,861f18847ffffff,2017-03-13 14:00:00
15,861f18847ffffff_2017-03-13 15:00:00,0.358121099602895,0,0,861f18847ffffff,2017-03-13 15:00:00
16,861f18847ffffff_2017-03-13 16:00:00,0.46822770737588976,0,0,861f18847ffffff,2017-03-13 16:00:00
17,861f18847ffffff_2017-03-13 17:00:00,0.5058653515111036,0,1,861f18847ffffff,2017-03-13 17:00:00
18,861f18847ffffff_2017-03-13 18:00:00,0.8804045042883967,0,1,861f18847ffffff,2017-03-13 18:00:00
19,861f18847ffffff_2017-03-13 19:00:00,0.17214939341658797,0,0,861f18847ffffff,2017-03-13 19:00:00
20,861f18847ffffff_2017-03-13 20:00:00,-1.0678500103261608,0,0,861f18847ffffff,2017-03-13 20:00:00
21,861f18847ffffff_2017-03-13 21:00:00,-0.6763162802932708,0,0,861f18847ffffff,2017-03-13 21:00:00
22,861f18847ffffff_2017-03-13 22:00:00,0.38576978067720036,0,0,861f18847ffffff,2017-03-13 22:00:00
23,861f18847ffffff_2017-03-13 23:00:00,0.32509389058450977,1,0,861f18847ffffff,2017-03-13 23:00:00
24,861f18847ffffff_2017-03-14 00:00:00,-0.11780767458110197,0,0,861f18847ffffff,2017-03-14 00:00:00
25,861f18847ffffff_2017-03-14 01:00:00,-0.1775334475596938,0,0,861f18847ffffff,2017-03-14 01:00:00
26,861f18847ffffff_2017-03-14 02:00:00,-0.11517851397314383,0,0,861f18847ffffff,2017-03-14 02:00:00
27,861f18847ffffff_2017-03-14 03:00:00,0.15383971145543485,0,0,861f18847ffffff,2017-03-14 03:00:00
28,861f18847ffffff_2017-03-14 04:00:00,-0.2381216748926308,0,0,861f18847ffffff,2017-03-14 04:00:00
29,861f18847ffffff_2017-03-14 05:00:00,-0.020653072827620522,1,0,861f18847ffffff,2017-03-14 05:00:00
30,861f18847ffffff_2017-03-14 06:00:00,1.1329454902681904,2,1,861f18847ffffff,2017-03-14 06:00:00
31,861f18847ffffff_2017-03-14 07:00:00,4.498473241411333,8,4,861f18847ffffff,2017-03-14 07:00:00
32,861f18847ffffff_2017-03-14 08:00:00,9.522422950538719,9,10,861f18847ffffff,2017-03-14 08:00:00
33,861f18847ffffff_2017-03-14 09:00:00,2.619747304577331,1,3,861f18847ffffff,2017-03-14 09:00:00
34,861f18847ffffff_2017-03-14 10:00:00,0.6580715733618485,2,1,861f18847ffffff,2017-03-14 10:00:00
35,861f18847ffffff_2017-03-14 11:00:00,0.5390876421841165,1,1,861f18847ffffff,2017-03-14 11:00:00
36,861f18847ffffff_2017-03-14 12:00:00,0.6021903742769137,0,1,861f18847ffffff,2017-03-14 12:00:00
37,861f18847ffffff_2017-03-14 13:00:00,0.5636062315246053,1,1,861f18847ffffff,2017-03-14 13:00:00
38,861f18847ffffff_2017-03-14 14:00:00,0.2777101073742507,1,0,861f18847ffffff,2017-03-14 14:00:00
39,861f18847ffffff_2017-03-14 15:00:00,1.0438929900498937,0,1,861f18847ffffff,2017-03-14 15:00:00
40,861f18847ffffff_2017-03-14 16:00:00,-0.017070765052962455,1,0,861f18847ffffff,2017-03-14 16:00:00
41,861f18847ffffff_2017-03-14 17:00:00,0.15863351681547366,0,0,861f18847ffffff,2017-03-14 17:00:00
42,861f18847ffffff_2017-03-14 18:00:00,0.49092643349756465,0,0,861f18847ffffff,2017-03-14 18:00:00
43,861f18847ffffff_2017-03-14 19:00:00,0.4391589424140003,2,0,861f18847ffffff,2017-03-14 19:00:00
44,861f18847ffffff_2017-03-14 20:00:00,-0.6651443726624696,0,0,861f18847ffffff,2017-03-14 20:00:00
45,861f18847ffffff_2017-03-14 21:00:00,-0.2847487796677627,0,0,861f18847ffffff,2017-03-14 21:00:00
46,861f18847ffffff_2017-03-14 22:00:00,0.4730165947491184,0,0,861f18847ffffff,2017-03-14 22:00:00
47,861f18847ffffff_2017-03-14 23:00:00,-0.18472880334265263,0,0,861f18847ffffff,2017-03-14 23:00:00
48,861f18847ffffff_2017-03-15 00:00:00,-0.1253873828777715,0,0,861f18847ffffff,2017-03-15 00:00:00
49,861f18847ffffff_2017-03-15 01:00:00,-0.12460948771726776,0,0,861f18847ffffff,2017-03-15 01:00:00
50,861f18847ffffff_2017-03-15 02:00:00,0.05622750281437705,0,0,861f18847ffffff,2017-03-15 02:00:00
51,861f18847ffffff_2017-03-15 03:00:00,0.2602903284848129,0,0,861f18847ffffff,2017-03-15 03:00:00
52,861f18847ffffff_2017-03-15 04:00:00,-0.19443224545760518,0,0,861f18847ffffff,2017-03-15 04:00:00
53,861f18847ffffff_2017-03-15 05:00:00,0.0980415008508565,1,0,861f18847ffffff,2017-03-15 05:00:00
54,861f18847ffffff_2017-03-15 06:00:00,1.5180072908075153,2,2,861f18847ffffff,2017-03-15 06:00:00
55,861f18847ffffff_2017-03-15 07:00:00,4.342673201088136,6,4,861f18847ffffff,2017-03-15 07:00:00
56,861f18847ffffff_2017-03-15 08:00:00,11.224208510729444,8,11,861f18847ffffff,2017-03-15 08:00:00
57,861f18847ffffff_2017-03-15 09:00:00,3.870806488100587,1,4,861f18847ffffff,2017-03-15 09:00:00
58,861f18847ffffff_2017-03-15 10:00:00,0.7793868731131678,3,1,861f18847ffffff,2017-03-15 10:00:00
59,861f18847ffffff_2017-03-15 11:00:00,0.5820498439441275,1,1,861f18847ffffff,2017-03-15 11:00:00
60,861f18847ffffff_2017-03-15 12:00:00,0.9883172375959263,0,1,861f18847ffffff,2017-03-15 12:00:00
61,861f18847ffffff_2017-03-15 13:00:00,0.6650960227946938,0,1,861f18847ffffff,2017-03-15 13:00:00
62,861f18847ffffff_2017-03-15 14:00:00,0.3160345877518631,0,0,861f18847ffffff,2017-03-15 14:00:00
63,861f18847ffffff_2017-03-15 15:00:00,0.6857980804021154,0,1,861f18847ffffff,2017-03-15 15:00:00
64,861f18847ffffff_2017-03-15 16:00:00,0.36458521272373884,1,0,861f18847ffffff,2017-03-15 16:00:00
65,861f18847ffffff_2017-03-15 17:00:00,-0.14217012379545424,1,0,861f18847ffffff,2017-03-15 17:00:00
66,861f18847ffffff_2017-03-15 18:00:00,0.8572130011212309,0,1,861f18847ffffff,2017-03-15 18:00:00
67,861f18847ffffff_2017-03-15 19:00:00,0.6167539403611648,0,1,861f18847ffffff,2017-03-15 19:00:00
68,861f18847ffffff_2017-03-15 20:00:00,0.3469808081901563,0,0,861f18847ffffff,2017-03-15 20:00:00
69,861f18847ffffff_2017-03-15 21:00:00,0.1226273058881957,0,0,861f18847ffffff,2017-03-15 21:00:00
70,861f18847ffffff_2017-03-15 22:00:00,0.6649062541002432,0,1,861f18847ffffff,2017-03-15 22:00:00
71,861f18847ffffff_2017-03-15 23:00:00,-0.0687874027405242,0,0,861f18847ffffff,2017-03-15 23:00:00
72,861f18847ffffff_2017-03-16 00:00:00,-0.1992965559314942,1,0,861f18847ffffff,2017-03-16 00:00:00
73,861f18847ffffff_2017-03-16 01:00:00,-0.08318317947019016,1,0,861f18847ffffff,2017-03-16 01:00:00
74,861f18847ffffff_2017-03-16 02:00:00,0.05765254757078897,0,0,861f18847ffffff,2017-03-16 02:00:00
75,861f18847ffffff_2017-03-16 03:00:00,0.21681342749213406,0,0,861f18847ffffff,2017-03-16 03:00:00
76,861f18847ffffff_2017-03-16 04:00:00,-0.16718256003765408,0,0,861f18847ffffff,2017-03-16 04:00:00
77,861f18847ffffff_2017-03-16 05:00:00,0.3433050984373753,0,0,861f18847ffffff,2017-03-16 05:00:00
78,861f18847ffffff_2017-03-16 06:00:00,1.0581193218084095,0,1,861f18847ffffff,2017-03-16 06:00:00
79,861f18847ffffff_2017-03-16 07:00:00,3.0237173068832237,9,3,861f18847ffffff,2017-03-16 07:00:00
80,861f18847ffffff_2017-03-16 08:00:00,7.672939413451976,6,8,861f18847ffffff,2017-03-16 08:00:00
81,861f18847ffffff_2017-03-16 09:00:00,2.0705162013693905,2,2,861f18847ffffff,2017-03-16 09:00:00
82,861f18847ffffff_2017-03-16 10:00:00,1.5634966238354207,3,2,861f18847ffffff,2017-03-16 10:00:00
83,861f18847ffffff_2017-03-16 11:00:00,0.8647974145418339,1,1,861f18847ffffff,2017-03-16 11:00:00
84,861f18847ffffff_2017-03-16 12:00:00,0.6519926816631871,1,1,861f18847ffffff,2017-03-16 12:00:00
85,861f18847ffffff_2017-03-16 13:00:00,0.02581107510119196,0,0,861f18847ffffff,2017-03-16 13:00:00
86,861f18847ffffff_2017-03-16 14:00:00,0.07563709973516397,0,0,861f18847ffffff,2017-03-16 14:00:00
87,861f18847ffffff_2017-03-16 15:00:00,0.14953185567514682,0,0,861f18847ffffff,2017-03-16 15:00:00
88,861f18847ffffff_2017-03-16 16:00:00,0.062140240000363,0,0,861f18847ffffff,2017-03-16 16:00:00
