,key_6hex_6h,y_hat,y_true,y_hat_adjust,hex_id_6hex,timestamp
0,861f18847ffffff_2017-03-13 00:00:00,-0.23049009342236726,0,0,861f18847ffffff,2017-03-13 00:00:00
1,861f18847ffffff_2017-03-13 06:00:00,4.91398488892654,0,5,861f18847ffffff,2017-03-13 06:00:00
2,861f18847ffffff_2017-03-13 12:00:00,17.653287051133635,20,18,861f18847ffffff,2017-03-13 12:00:00
3,861f18847ffffff_2017-03-13 18:00:00,0.6262203311185708,1,1,861f18847ffffff,2017-03-13 18:00:00
4,861f18847ffffff_2017-03-14 00:00:00,-3.061775173594305,0,0,861f18847ffffff,2017-03-14 00:00:00
5,861f18847ffffff_2017-03-14 06:00:00,2.6653016481083007,0,3,861f18847ffffff,2017-03-14 06:00:00
6,861f18847ffffff_2017-03-14 12:00:00,20.153496366730174,22,20,861f18847ffffff,2017-03-14 12:00:00
7,861f18847ffffff_2017-03-14 18:00:00,3.587910747360484,6,4,861f18847ffffff,2017-03-14 18:00:00
8,861f18847ffffff_2017-03-15 00:00:00,-0.6306960101876644,1,0,861f18847ffffff,2017-03-15 00:00:00
9,861f18847ffffff_2017-03-15 06:00:00,1.4107309871694258,3,1,861f18847ffffff,2017-03-15 06:00:00
10,861f18847ffffff_2017-03-15 12:00:00,16.637646166148524,17,17,861f18847ffffff,2017-03-15 12:00:00
11,861f18847ffffff_2017-03-15 18:00:00,2.020387768674465,2,2,861f18847ffffff,2017-03-15 18:00:00
12,861f18847ffffff_2017-03-16 00:00:00,-1.1536590530230422,1,0,861f18847ffffff,2017-03-16 00:00:00
13,861f18847ffffff_2017-03-16 06:00:00,1.6566181014058832,3,2,861f18847ffffff,2017-03-16 06:00:00
14,861f18847ffffff_2017-03-16 12:00:00,17.803722525508334,14,18,861f18847ffffff,2017-03-16 12:00:00
15,861f18847ffffff_2017-03-16 18:00:00,2.4108245778890334,4,2,861f18847ffffff,2017-03-16 18:00:00
16,861f18847ffffff_2017-03-17 00:00:00,1.2846824831816552,2,1,861f18847ffffff,2017-03-17 00:00:00
17,861f18847ffffff_2017-03-17 06:00:00,2.7507482410938584,1,3,861f18847ffffff,2017-03-17 06:00:00
18,861f18847ffffff_2017-03-17 12:00:00,16.860050312052298,24,17,861f18847ffffff,2017-03-17 12:00:00
19,861f18847ffffff_2017-03-17 18:00:00,2.255738633413356,0,2,861f18847ffffff,2017-03-17 18:00:00
