,key_6hex_6h,y_hat,y_true,y_hat_adjust,hex_id_6hex,timestamp
0,861f1d48fffffff_2017-03-13 00:00:00,201.0,189,201,861f1d48fffffff,2017-03-13 00:00:00
1,861f1d48fffffff_2017-03-13 06:00:00,1130.0,1109,1130,861f1d48fffffff,2017-03-13 06:00:00
2,861f1d48fffffff_2017-03-13 12:00:00,1738.0,1674,1738,861f1d48fffffff,2017-03-13 12:00:00
3,861f1d48fffffff_2017-03-13 18:00:00,994.0,797,994,861f1d48fffffff,2017-03-13 18:00:00
4,861f1d48fffffff_2017-03-14 00:00:00,168.0,157,168,861f1d48fffffff,2017-03-14 00:00:00
5,861f1d48fffffff_2017-03-14 06:00:00,1076.0,1109,1076,861f1d48fffffff,2017-03-14 06:00:00
6,861f1d48fffffff_2017-03-14 12:00:00,1565.0,1647,1565,861f1d48fffffff,2017-03-14 12:00:00
7,861f1d48fffffff_2017-03-14 18:00:00,971.0,988,971,861f1d48fffffff,2017-03-14 18:00:00
8,861f1d48fffffff_2017-03-15 00:00:00,181.0,174,181,861f1d48fffffff,2017-03-15 00:00:00
9,861f1d48fffffff_2017-03-15 06:00:00,1017.0,968,1017,861f1d48fffffff,2017-03-15 06:00:00
10,861f1d48fffffff_2017-03-15 12:00:00,1641.0,1660,1641,861f1d48fffffff,2017-03-15 12:00:00
11,861f1d48fffffff_2017-03-15 18:00:00,1054.0,966,1054,861f1d48fffffff,2017-03-15 18:00:00
12,861f1d48fffffff_2017-03-16 00:00:00,171.0,180,171,861f1d48fffffff,2017-03-16 00:00:00
13,861f1d48fffffff_2017-03-16 06:00:00,1010.0,1075,1010,861f1d48fffffff,2017-03-16 06:00:00
14,861f1d48fffffff_2017-03-16 12:00:00,1572.0,1663,1572,861f1d48fffffff,2017-03-16 12:00:00
15,861f1d48fffffff_2017-03-16 18:00:00,1133.0,1016,1133,861f1d48fffffff,2017-03-16 18:00:00
16,861f1d48fffffff_2017-03-17 00:00:00,198.0,200,198,861f1d48fffffff,2017-03-17 00:00:00
17,861f1d48fffffff_2017-03-17 06:00:00,1118.0,1081,1118,861f1d48fffffff,2017-03-17 06:00:00
18,861f1d48fffffff_2017-03-17 12:00:00,1729.0,1724,1729,861f1d48fffffff,2017-03-17 12:00:00
19,861f1d48fffffff_2017-03-17 18:00:00,1317.0,1354,1317,861f1d48fffffff,2017-03-17 18:00:00
20,861f1d48fffffff_2017-03-18 00:00:00,228.0,279,228,861f1d48fffffff,2017-03-18 00:00:00
21,861f1d48fffffff_2017-03-18 06:00:00,871.0,946,871,861f1d48fffffff,2017-03-18 06:00:00
22,861f1d48fffffff_2017-03-18 12:00:00,1740.0,1870,1740,861f1d48fffffff,2017-03-18 12:00:00
23,861f1d48fffffff_2017-03-18 18:00:00,1654.0,1593,1654,861f1d48fffffff,2017-03-18 18:00:00
24,861f1d48fffffff_2017-03-19 00:00:00,395.0,383,395,861f1d48fffffff,2017-03-19 00:00:00
25,861f1d48fffffff_2017-03-19 06:00:00,804.0,823,804,861f1d48fffffff,2017-03-19 06:00:00
26,861f1d48fffffff_2017-03-19 12:00:00,1691.0,1733,1691,861f1d48fffffff,2017-03-19 12:00:00
27,861f1d48fffffff_2017-03-19 18:00:00,1060.0,883,1060,861f1d48fffffff,2017-03-19 18:00:00
28,861f1d48fffffff_2017-03-20 00:00:00,199.0,239,199,861f1d48fffffff,2017-03-20 00:00:00
29,861f1d48fffffff_2017-03-20 06:00:00,1126.0,1055,1126,861f1d48fffffff,2017-03-20 06:00:00
30,861f1d48fffffff_2017-03-20 12:00:00,1675.0,1652,1675,861f1d48fffffff,2017-03-20 12:00:00
31,861f1d48fffffff_2017-03-20 18:00:00,928.0,905,928,861f1d48fffffff,2017-03-20 18:00:00
32,861f1d48fffffff_2017-03-21 00:00:00,173.0,171,173,861f1d48fffffff,2017-03-21 00:00:00
33,861f1d4d7ffffff_2017-03-13 00:00:00,212.0,158,212,861f1d4d7ffffff,2017-03-13 00:00:00
34,861f1d4d7ffffff_2017-03-13 06:00:00,749.0,789,749,861f1d4d7ffffff,2017-03-13 06:00:00
35,861f1d4d7ffffff_2017-03-13 12:00:00,824.0,780,824,861f1d4d7ffffff,2017-03-13 12:00:00
36,861f1d4d7ffffff_2017-03-13 18:00:00,761.0,553,761,861f1d4d7ffffff,2017-03-13 18:00:00
37,861f1d4d7ffffff_2017-03-14 00:00:00,175.0,168,175,861f1d4d7ffffff,2017-03-14 00:00:00
38,861f1d4d7ffffff_2017-03-14 06:00:00,786.0,744,786,861f1d4d7ffffff,2017-03-14 06:00:00
39,861f1d4d7ffffff_2017-03-14 12:00:00,825.0,810,825,861f1d4d7ffffff,2017-03-14 12:00:00
40,861f1d4d7ffffff_2017-03-14 18:00:00,733.0,733,733,861f1d4d7ffffff,2017-03-14 18:00:00
41,861f1d4d7ffffff_2017-03-15 00:00:00,173.0,170,173,861f1d4d7ffffff,2017-03-15 00:00:00
42,861f1d4d7ffffff_2017-03-15 06:00:00,738.0,768,738,861f1d4d7ffffff,2017-03-15 06:00:00
43,861f1d4d7ffffff_2017-03-15 12:00:00,748.0,803,748,861f1d4d7ffffff,2017-03-15 12:00:00
44,861f1d4d7ffffff_2017-03-15 18:00:00,784.0,818,784,861f1d4d7ffffff,2017-03-15 18:00:00
45,861f1d4d7ffffff_2017-03-16 00:00:00,185.0,175,185,861f1d4d7ffffff,2017-03-16 00:00:00
46,861f1d4d7ffffff_2017-03-16 06:00:00,776.0,759,776,861f1d4d7ffffff,2017-03-16 06:00:00
47,861f1d4d7ffffff_2017-03-16 12:00:00,812.0,879,812,861f1d4d7ffffff,2017-03-16 12:00:00
48,861f1d4d7ffffff_2017-03-16 18:00:00,829.0,846,829,861f1d4d7ffffff,2017-03-16 18:00:00
49,861f1d4d7ffffff_2017-03-17 00:00:00,230.0,238,230,861f1d4d7ffffff,2017-03-17 00:00:00
50,861f1d4d7ffffff_2017-03-17 06:00:00,777.0,834,777,861f1d4d7ffffff,2017-03-17 06:00:00
51,861f1d4d7ffffff_2017-03-17 12:00:00,962.0,949,962,861f1d4d7ffffff,2017-03-17 12:00:00
52,861f1d4d7ffffff_2017-03-17 18:00:00,987.0,1024,987,861f1d4d7ffffff,2017-03-17 18:00:00
53,861f1d4d7ffffff_2017-03-18 00:00:00,301.0,398,301,861f1d4d7ffffff,2017-03-18 00:00:00
54,861f1d4d7ffffff_2017-03-18 06:00:00,746.0,844,746,861f1d4d7ffffff,2017-03-18 06:00:00
55,861f1d4d7ffffff_2017-03-18 12:00:00,1103.0,1178,1103,861f1d4d7ffffff,2017-03-18 12:00:00
56,861f1d4d7ffffff_2017-03-18 18:00:00,1116.0,1245,1116,861f1d4d7ffffff,2017-03-18 18:00:00
57,861f1d4d7ffffff_2017-03-19 00:00:00,464.0,435,464,861f1d4d7ffffff,2017-03-19 00:00:00
58,861f1d4d7ffffff_2017-03-19 06:00:00,668.0,712,668,861f1d4d7ffffff,2017-03-19 06:00:00
59,861f1d4d7ffffff_2017-03-19 12:00:00,1171.0,1400,1171,861f1d4d7ffffff,2017-03-19 12:00:00
60,861f1d4d7ffffff_2017-03-19 18:00:00,745.0,818,745,861f1d4d7ffffff,2017-03-19 18:00:00
61,861f1d4d7ffffff_2017-03-20 00:00:00,194.0,217,194,861f1d4d7ffffff,2017-03-20 00:00:00
62,861f1d4d7ffffff_2017-03-20 06:00:00,859.0,844,859,861f1d4d7ffffff,2017-03-20 06:00:00
63,861f1d4d7ffffff_2017-03-20 12:00:00,985.0,836,985,861f1d4d7ffffff,2017-03-20 12:00:00
64,861f1d4d7ffffff_2017-03-20 18:00:00,779.0,731,779,861f1d4d7ffffff,2017-03-20 18:00:00
65,861f1d4d7ffffff_2017-03-21 00:00:00,155.0,166,155,861f1d4d7ffffff,2017-03-21 00:00:00
66,861f1d49fffffff_2017-03-13 00:00:00,134.0,125,134,861f1d49fffffff,2017-03-13 00:00:00
67,861f1d49fffffff_2017-03-13 06:00:00,671.0,640,671,861f1d49fffffff,2017-03-13 06:00:00
68,861f1d49fffffff_2017-03-13 12:00:00,896.0,848,896,861f1d49fffffff,2017-03-13 12:00:00
69,861f1d49fffffff_2017-03-13 18:00:00,601.0,471,601,861f1d49fffffff,2017-03-13 18:00:00
70,861f1d49fffffff_2017-03-14 00:00:00,132.0,127,132,861f1d49fffffff,2017-03-14 00:00:00
71,861f1d49fffffff_2017-03-14 06:00:00,666.0,691,666,861f1d49fffffff,2017-03-14 06:00:00
72,861f1d49fffffff_2017-03-14 12:00:00,812.0,853,812,861f1d49fffffff,2017-03-14 12:00:00
73,861f1d49fffffff_2017-03-14 18:00:00,597.0,588,597,861f1d49fffffff,2017-03-14 18:00:00
74,861f1d49fffffff_2017-03-15 00:00:00,162.0,139,162,861f1d49fffffff,2017-03-15 00:00:00
75,861f1d49fffffff_2017-03-15 06:00:00,666.0,660,666,861f1d49fffffff,2017-03-15 06:00:00
76,861f1d49fffffff_2017-03-15 12:00:00,837.0,807,837,861f1d49fffffff,2017-03-15 12:00:00
77,861f1d49fffffff_2017-03-15 18:00:00,669.0,599,669,861f1d49fffffff,2017-03-15 18:00:00
78,861f1d49fffffff_2017-03-16 00:00:00,144.0,144,144,861f1d49fffffff,2017-03-16 00:00:00
79,861f1d49fffffff_2017-03-16 06:00:00,670.0,660,670,861f1d49fffffff,2017-03-16 06:00:00
80,861f1d49fffffff_2017-03-16 12:00:00,805.0,850,805,861f1d49fffffff,2017-03-16 12:00:00
81,861f1d49fffffff_2017-03-16 18:00:00,694.0,598,694,861f1d49fffffff,2017-03-16 18:00:00
82,861f1d49fffffff_2017-03-17 00:00:00,153.0,143,153,861f1d49fffffff,2017-03-17 00:00:00
