,key_7hex_6h,y_hat,y_true,y_hat_adjust,hex_id_7hex,timestamp
0,871f1d489ffffff_2017-03-13 00:00:00,44.0,37,44,871f1d489ffffff,2017-03-13 00:00:00
1,871f1d489ffffff_2017-03-13 06:00:00,289.0,289,289,871f1d489ffffff,2017-03-13 06:00:00
2,871f1d489ffffff_2017-03-13 12:00:00,372.0,361,372,871f1d489ffffff,2017-03-13 12:00:00
3,871f1d489ffffff_2017-03-13 18:00:00,273.0,241,273,871f1d489ffffff,2017-03-13 18:00:00
4,871f1d489ffffff_2017-03-14 00:00:00,30.0,37,30,871f1d489ffffff,2017-03-14 00:00:00
5,871f1d489ffffff_2017-03-14 06:00:00,244.0,229,244,871f1d489ffffff,2017-03-14 06:00:00
6,871f1d489ffffff_2017-03-14 12:00:00,351.0,359,351,871f1d489ffffff,2017-03-14 12:00:00
7,871f1d489ffffff_2017-03-14 18:00:00,332.0,264,332,871f1d489ffffff,2017-03-14 18:00:00
8,871f1d489ffffff_2017-03-15 00:00:00,36.0,33,36,871f1d489ffffff,2017-03-15 00:00:00
9,871f1d489ffffff_2017-03-15 06:00:00,244.0,214,244,871f1d489ffffff,2017-03-15 06:00:00
10,871f1d489ffffff_2017-03-15 12:00:00,365.0,344,365,871f1d489ffffff,2017-03-15 12:00:00
11,871f1d489ffffff_2017-03-15 18:00:00,289.0,266,289,871f1d489ffffff,2017-03-15 18:00:00
12,871f1d489ffffff_2017-03-16 00:00:00,25.0,37,25,871f1d489ffffff,2017-03-16 00:00:00
13,871f1d489ffffff_2017-03-16 06:00:00,231.0,256,231,871f1d489ffffff,2017-03-16 06:00:00
14,871f1d489ffffff_2017-03-16 12:00:00,362.0,377,362,871f1d489ffffff,2017-03-16 12:00:00
15,871f1d489ffffff_2017-03-16 18:00:00,360.0,311,360,871f1d489ffffff,2017-03-16 18:00:00
16,871f1d489ffffff_2017-03-17 00:00:00,50.0,62,50,871f1d489ffffff,2017-03-17 00:00:00
17,871f1d489ffffff_2017-03-17 06:00:00,255.0,230,255,871f1d489ffffff,2017-03-17 06:00:00
18,871f1d489ffffff_2017-03-17 12:00:00,390.0,344,390,871f1d489ffffff,2017-03-17 12:00:00
19,871f1d489ffffff_2017-03-17 18:00:00,424.0,445,424,871f1d489ffffff,2017-03-17 18:00:00
20,871f1d489ffffff_2017-03-18 00:00:00,84.0,83,84,871f1d489ffffff,2017-03-18 00:00:00
21,871f1d489ffffff_2017-03-18 06:00:00,173.0,224,173,871f1d489ffffff,2017-03-18 06:00:00
22,871f1d489ffffff_2017-03-18 12:00:00,456.0,467,456,871f1d489ffffff,2017-03-18 12:00:00
23,871f1d489ffffff_2017-03-18 18:00:00,499.0,527,499,871f1d489ffffff,2017-03-18 18:00:00
24,871f1d489ffffff_2017-03-19 00:00:00,141.0,110,141,871f1d489ffffff,2017-03-19 00:00:00
25,871f1d489ffffff_2017-03-19 06:00:00,204.0,197,204,871f1d489ffffff,2017-03-19 06:00:00
26,871f1d489ffffff_2017-03-19 12:00:00,422.0,427,422,871f1d489ffffff,2017-03-19 12:00:00
27,871f1d489ffffff_2017-03-19 18:00:00,277.0,271,277,871f1d489ffffff,2017-03-19 18:00:00
28,871f1d489ffffff_2017-03-20 00:00:00,62.0,57,62,871f1d489ffffff,2017-03-20 00:00:00
29,871f1d489ffffff_2017-03-20 06:00:00,281.0,207,281,871f1d489ffffff,2017-03-20 06:00:00
30,871f1d489ffffff_2017-03-20 12:00:00,371.0,322,371,871f1d489ffffff,2017-03-20 12:00:00
31,871f1d489ffffff_2017-03-20 18:00:00,243.0,269,243,871f1d489ffffff,2017-03-20 18:00:00
32,871f1d489ffffff_2017-03-21 00:00:00,44.0,31,44,871f1d489ffffff,2017-03-21 00:00:00
33,871f1d49dffffff_2017-03-13 00:00:00,29.0,20,29,871f1d49dffffff,2017-03-13 00:00:00
34,871f1d49dffffff_2017-03-13 06:00:00,216.0,221,216,871f1d49dffffff,2017-03-13 06:00:00
35,871f1d49dffffff_2017-03-13 12:00:00,344.0,334,344,871f1d49dffffff,2017-03-13 12:00:00
36,871f1d49dffffff_2017-03-13 18:00:00,179.0,168,179,871f1d49dffffff,2017-03-13 18:00:00
37,871f1d49dffffff_2017-03-14 00:00:00,22.0,22,22,871f1d49dffffff,2017-03-14 00:00:00
38,871f1d49dffffff_2017-03-14 06:00:00,226.0,223,226,871f1d49dffffff,2017-03-14 06:00:00
39,871f1d49dffffff_2017-03-14 12:00:00,336.0,349,336,871f1d49dffffff,2017-03-14 12:00:00
40,871f1d49dffffff_2017-03-14 18:00:00,204.0,199,204,871f1d49dffffff,2017-03-14 18:00:00
41,871f1d49dffffff_2017-03-15 00:00:00,20.0,30,20,871f1d49dffffff,2017-03-15 00:00:00
42,871f1d49dffffff_2017-03-15 06:00:00,209.0,209,209,871f1d49dffffff,2017-03-15 06:00:00
43,871f1d49dffffff_2017-03-15 12:00:00,333.0,301,333,871f1d49dffffff,2017-03-15 12:00:00
44,871f1d49dffffff_2017-03-15 18:00:00,199.0,181,199,871f1d49dffffff,2017-03-15 18:00:00
45,871f1d49dffffff_2017-03-16 00:00:00,27.0,33,27,871f1d49dffffff,2017-03-16 00:00:00
46,871f1d49dffffff_2017-03-16 06:00:00,220.0,213,220,871f1d49dffffff,2017-03-16 06:00:00
47,871f1d49dffffff_2017-03-16 12:00:00,315.0,328,315,871f1d49dffffff,2017-03-16 12:00:00
48,871f1d49dffffff_2017-03-16 18:00:00,223.0,178,223,871f1d49dffffff,2017-03-16 18:00:00
49,871f1d49dffffff_2017-03-17 00:00:00,22.0,29,22,871f1d49dffffff,2017-03-17 00:00:00
50,871f1d49dffffff_2017-03-17 06:00:00,245.0,243,245,871f1d49dffffff,2017-03-17 06:00:00
51,871f1d49dffffff_2017-03-17 12:00:00,337.0,318,337,871f1d49dffffff,2017-03-17 12:00:00
52,871f1d49dffffff_2017-03-17 18:00:00,254.0,286,254,871f1d49dffffff,2017-03-17 18:00:00
53,871f1d49dffffff_2017-03-18 00:00:00,56.0,58,56,871f1d49dffffff,2017-03-18 00:00:00
54,871f1d49dffffff_2017-03-18 06:00:00,197.0,200,197,871f1d49dffffff,2017-03-18 06:00:00
55,871f1d49dffffff_2017-03-18 12:00:00,366.0,411,366,871f1d49dffffff,2017-03-18 12:00:00
56,871f1d49dffffff_2017-03-18 18:00:00,299.0,320,299,871f1d49dffffff,2017-03-18 18:00:00
57,871f1d49dffffff_2017-03-19 00:00:00,61.0,47,61,871f1d49dffffff,2017-03-19 00:00:00
58,871f1d49dffffff_2017-03-19 06:00:00,138.0,136,138,871f1d49dffffff,2017-03-19 06:00:00
59,871f1d49dffffff_2017-03-19 12:00:00,295.0,272,295,871f1d49dffffff,2017-03-19 12:00:00
60,871f1d49dffffff_2017-03-19 18:00:00,147.0,163,147,871f1d49dffffff,2017-03-19 18:00:00
61,871f1d49dffffff_2017-03-20 00:00:00,33.0,31,33,871f1d49dffffff,2017-03-20 00:00:00
62,871f1d49dffffff_2017-03-20 06:00:00,205.0,216,205,871f1d49dffffff,2017-03-20 06:00:00
63,871f1d49dffffff_2017-03-20 12:00:00,302.0,310,302,871f1d49dffffff,2017-03-20 12:00:00
64,871f1d49dffffff_2017-03-20 18:00:00,181.0,193,181,871f1d49dffffff,2017-03-20 18:00:00
65,871f1d49dffffff_2017-03-21 00:00:00,28.0,23,28,871f1d49dffffff,2017-03-21 00:00:00
66,871f1d48bffffff_2017-03-13 00:00:00,26.0,25,26,871f1d48bffffff,2017-03-13 00:00:00
