Hex,timestamp,Total_rentals,Own_rentals_post_reloc,Own_rentals_base_pre_reloc,Own_rentals_delta,Lost_market_demand_pre,Lost_market_demand_post,Own_rentals_cum_delta,Own_relocs_cum_delta
861f1d48fffffff,2017-03-13T00:00:00.0,45,17,17,0,0,0,0,0
861f1d4d7ffffff,2017-03-13T00:00:00.0,20,7,7,0,0,0,0,0
861f1d49fffffff,2017-03-13T00:00:00.0,17,8,8,0,0,0,0,0
861f18b27ffffff,2017-03-13T00:00:00.0,19,9,9,0,0,0,0,0
861f1d4f7ffffff,2017-03-13T00:00:00.0,19,7,7,0,0,0,0,0
861f1d487ffffff,2017-03-13T00:00:00.0,5,2,2,0,0,0,0,0
861f1d4afffffff,2017-03-13T00:00:00.0,4,2,2,0,0,0,0,0
861f18b37ffffff,2017-03-13T00:00:00.0,3,1,1,0,0,0,0,0
861f18b2fffffff,2017-03-13T00:00:00.0,2,1,1,0,0,0,0,0
861f1886fffffff,2017-03-13T00:00:00.0,0,0,0,0,0,0,0,0
861f1d4b7ffffff,2017-03-13T00:00:00.0,2,1,1,0,0,0,0,0
861f18b0fffffff,2017-03-13T00:00:00.0,0,0,0,0,0,0,0,0
861f1d4dfffffff,2017-03-13T00:00:00.0,2,0,0,0,0,0,0,0
861f1d48fffffff,2017-03-13T01:00:00.0,26,10,10,0,0,0,0,0
861f1d4d7ffffff,2017-03-13T01:00:00.0,16,6,6,0,0,0,0,0
861f1d49fffffff,2017-03-13T01:00:00.0,5,2,2,0,0,0,0,0
861f18b27ffffff,2017-03-13T01:00:00.0,6,3,3,0,0,0,0,0
861f1d4f7ffffff,2017-03-13T01:00:00.0,6,2,2,0,0,0,0,0
861f1d487ffffff,2017-03-13T01:00:00.0,6,3,3,0,0,0,0,0
861f1d4afffffff,2017-03-13T01:00:00.0,3,1,1,0,0,0,0,0
861f18b37ffffff,2017-03-13T01:00:00.0,2,0,0,0,0,0,0,0
861f18b2fffffff,2017-03-13T01:00:00.0,4,2,2,0,0,0,0,0
861f1886fffffff,2017-03-13T01:00:00.0,0,0,0,0,0,0,0,0
861f1d4b7ffffff,2017-03-13T01:00:00.0,1,0,0,0,0,0,0,0
861f18b0fffffff,2017-03-13T01:00:00.0,0,0,0,0,0,0,0,0
861f1d4dfffffff,2017-03-13T01:00:00.0,1,0,0,0,0,0,0,0
861f1d48fffffff,2017-03-13T02:00:00.0,16,6,6,0,0,0,0,0
861f1d4d7ffffff,2017-03-13T02:00:00.0,14,5,5,0,0,0,0,0
861f1d49fffffff,2017-03-13T02:00:00.0,14,7,7,0,0,0,0,0
861f18b27ffffff,2017-03-13T02:00:00.0,9,4,4,0,0,0,0,0
861f1d4f7ffffff,2017-03-13T02:00:00.0,14,5,5,0,0,0,0,0
861f1d487ffffff,2017-03-13T02:00:00.0,2,1,1,0,0,0,0,0
861f1d4afffffff,2017-03-13T02:00:00.0,6,3,3,0,0,0,0,0
861f18b37ffffff,2017-03-13T02:00:00.0,1,0,0,0,0,0,0,0
861f18b2fffffff,2017-03-13T02:00:00.0,4,2,2,0,0,0,0,0
861f1886fffffff,2017-03-13T02:00:00.0,0,0,0,0,0,0,0,0
861f1d4b7ffffff,2017-03-13T02:00:00.0,4,4,4,0,0,0,0,0
861f18b0fffffff,2017-03-13T02:00:00.0,0,0,0,0,0,0,0,0
861f1d4dfffffff,2017-03-13T02:00:00.0,1,0,0,0,0,0,0,0
861f1d48fffffff,2017-03-13T03:00:00.0,15,6,6,0,0,0,0,0
861f1d4d7ffffff,2017-03-13T03:00:00.0,21,8,8,0,0,0,0,0
861f1d49fffffff,2017-03-13T03:00:00.0,12,6,6,0,0,0,0,0
861f18b27ffffff,2017-03-13T03:00:00.0,12,6,6,0,0,0,0,0
861f1d4f7ffffff,2017-03-13T03:00:00.0,12,4,4,0,0,0,0,0
861f1d487ffffff,2017-03-13T03:00:00.0,6,3,3,0,0,0,0,0
861f1d4afffffff,2017-03-13T03:00:00.0,17,8,8,0,0,0,0,0
861f18b37ffffff,2017-03-13T03:00:00.0,5,1,1,0,0,0,0,0
861f18b2fffffff,2017-03-13T03:00:00.0,1,0,0,0,0,0,0,0
861f1886fffffff,2017-03-13T03:00:00.0,1,0,0,0,0,0,0,0
861f1d4b7ffffff,2017-03-13T03:00:00.0,3,3,3,0,0,0,0,0
861f18b0fffffff,2017-03-13T03:00:00.0,0,0,0,0,0,0,0,0
861f1d4dfffffff,2017-03-13T03:00:00.0,0,0,0,0,0,0,0,0
861f1d48fffffff,2017-03-13T04:00:00.0,26,11,11,0,0,0,0,0
861f1d4d7ffffff,2017-03-13T04:00:00.0,25,10,10,0,0,0,0,0
861f1d49fffffff,2017-03-13T04:00:00.0,27,14,14,0,0,0,0,0
861f18b27ffffff,2017-03-13T04:00:00.0,28,15,15,0,0,0,0,0
861f1d4f7ffffff,2017-03-13T04:00:00.0,19,7,7,0,0,0,0,0
861f1d487ffffff,2017-03-13T04:00:00.0,13,7,7,0,0,0,0,0
861f1d4afffffff,2017-03-13T04:00:00.0,5,2,2,0,0,0,0,0
861f18b37ffffff,2017-03-13T04:00:00.0,11,4,4,0,0,0,0,0
861f18b2fffffff,2017-03-13T04:00:00.0,2,1,1,0,0,0,0,0
861f1886fffffff,2017-03-13T04:00:00.0,1,0,0,0,0,0,0,0
861f1d4b7ffffff,2017-03-13T04:00:00.0,3,3,3,0,0,0,0,0
861f18b0fffffff,2017-03-13T04:00:00.0,2,1,1,0,0,0,0,0
