Hex,timestamp,Total_revenue,Own_revenue_post_reloc,Own_rental_cost_post_reloc,Own_revenue_base_pre_reloc,Own_rental_cost_base_pre_reloc,Comp_rental_cost_base_pre_reloc,Own_revenue_delta,Own_rental_cost_delta
861f1d48fffffff,2017-03-13T00:00:00.0,3318.08,1527.37,267.29,1527.37,267.29,313.37,0.0,0.0
861f1d4d7ffffff,2017-03-13T00:00:00.0,2822.52,1143.3,200.08,1143.3,200.08,293.86,0.0,0.0
861f1d49fffffff,2017-03-13T00:00:00.0,1867.0,970.84,169.9,970.84,169.9,156.83,0.0,0.0
861f18b27ffffff,2017-03-13T00:00:00.0,1965.22,1057.05,184.98,1057.05,184.98,158.93,0.0,0.0
861f1d4f7ffffff,2017-03-13T00:00:00.0,1288.44,515.38,90.19,515.38,90.19,135.29,0.0,0.0
861f1d487ffffff,2017-03-13T00:00:00.0,781.04,405.54,70.97,405.54,70.97,65.71,0.0,0.0
861f1d4afffffff,2017-03-13T00:00:00.0,942.07,481.06,84.18,481.06,84.18,80.68,0.0,0.0
861f18b37ffffff,2017-03-13T00:00:00.0,926.03,350.39,61.32,350.39,61.32,100.74,0.0,0.0
861f18b2fffffff,2017-03-13T00:00:00.0,283.97,189.31,33.13,189.31,33.13,16.56,0.0,0.0
861f1886fffffff,2017-03-13T00:00:00.0,266.0,0.0,0.0,0.0,0.0,46.55,0.0,0.0
861f1d4b7ffffff,2017-03-13T00:00:00.0,267.98,252.22,44.14,252.22,44.14,2.76,0.0,0.0
861f18b0fffffff,2017-03-13T00:00:00.0,63.0,21.0,3.68,21.0,3.68,7.35,0.0,0.0
861f1d4dfffffff,2017-03-13T00:00:00.0,60.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0
861f1d48fffffff,2017-03-13T06:00:00.0,20135.0,9604.52,1680.79,9749.77,1706.21,1817.42,-145.25,-25.420000000000073
861f1d4d7ffffff,2017-03-13T06:00:00.0,16344.92,7209.17,1261.6,6919.14,1210.85,1649.51,290.02999999999975,50.75
861f1d49fffffff,2017-03-13T06:00:00.0,11386.88,5355.39,937.19,5817.98,1018.15,974.56,-462.58999999999924,-80.95999999999992
861f18b27ffffff,2017-03-13T06:00:00.0,9575.37,4900.46,857.58,4900.46,857.58,818.11,0.0,0.0
861f1d4f7ffffff,2017-03-13T06:00:00.0,7735.19,3755.67,657.24,3109.0,544.08,809.58,646.6700000000001,113.15999999999997
861f1d487ffffff,2017-03-13T06:00:00.0,5675.88,2935.8,513.77,2432.52,425.69,567.59,503.2800000000002,88.07999999999998
861f1d4afffffff,2017-03-13T06:00:00.0,3641.52,1567.54,274.32,2049.86,358.73,278.54,-482.32000000000016,-84.41000000000003
861f18b37ffffff,2017-03-13T06:00:00.0,2407.61,1109.39,194.14,1109.39,194.14,227.19,0.0,0.0
861f18b2fffffff,2017-03-13T06:00:00.0,853.53,418.4,73.22,569.02,99.58,49.79,-150.62,-26.36
861f1886fffffff,2017-03-13T06:00:00.0,1589.17,745.94,130.54,97.3,17.03,261.08,648.6400000000001,113.50999999999999
861f1d4b7ffffff,2017-03-13T06:00:00.0,645.54,590.21,103.29,608.65,106.51,6.46,-18.43999999999994,-3.219999999999999
861f18b0fffffff,2017-03-13T06:00:00.0,176.0,70.4,12.32,88.0,15.4,15.4,-17.599999999999994,-3.08
861f1d4dfffffff,2017-03-13T06:00:00.0,400.25,44.47,7.78,22.24,3.89,66.15,22.23,3.89
861f1d48fffffff,2017-03-13T12:00:00.0,32676.48,17021.44,2978.75,16748.16,2930.93,2787.46,273.27999999999884,47.820000000000164
861f1d4d7ffffff,2017-03-13T12:00:00.0,14180.4,5653.98,989.45,5581.26,976.72,1504.85,72.71999999999935,12.730000000000018
861f1d49fffffff,2017-03-13T12:00:00.0,16865.03,8412.62,1472.21,8472.29,1482.65,1468.73,-59.67000000000007,-10.440000000000055
861f18b27ffffff,2017-03-13T12:00:00.0,11423.1,5470.48,957.33,5711.55,999.52,999.52,-241.07000000000062,-42.18999999999994
861f1d4f7ffffff,2017-03-13T12:00:00.0,5594.51,2313.52,404.87,2124.23,371.74,607.3,189.28999999999996,33.129999999999995
861f1d487ffffff,2017-03-13T12:00:00.0,5025.33,2490.43,435.83,2379.25,416.37,463.06,111.17999999999984,19.45999999999998
861f1d4afffffff,2017-03-13T12:00:00.0,3423.89,1997.27,349.52,2085.06,364.89,234.29,-87.78999999999996,-15.370000000000005
861f18b37ffffff,2017-03-13T12:00:00.0,3096.85,1599.19,279.86,1599.19,279.86,262.09,0.0,0.0
861f18b2fffffff,2017-03-13T12:00:00.0,1052.0,631.2,110.46,673.28,117.82,66.28,-42.07999999999993,-7.359999999999999
861f1886fffffff,2017-03-13T12:00:00.0,1244.24,369.91,64.73,67.26,11.77,205.97,302.65000000000003,52.96000000000001
861f1d4b7ffffff,2017-03-13T12:00:00.0,1038.06,1014.99,177.62,991.92,173.59,8.07,23.07000000000005,4.030000000000001
861f18b0fffffff,2017-03-13T12:00:00.0,405.68,223.12,39.05,202.84,35.5,35.5,20.28,3.549999999999997
861f1d4dfffffff,2017-03-13T12:00:00.0,922.1,362.25,63.39,98.8,17.29,144.08,263.45,46.1
861f1d48fffffff,2017-03-13T18:00:00.0,19083.37,10463.53,1831.12,10295.92,1801.79,1537.8,167.61000000000058,29.329999999999927
