Hex,timestamp,Total_revenue,Own_revenue_post_reloc,Own_rental_cost_post_reloc,Own_revenue_base_pre_reloc,Own_rental_cost_base_pre_reloc,Comp_rental_cost_base_pre_reloc,Own_revenue_delta,Own_rental_cost_delta
861f1d48fffffff,2017-03-13T00:00:00.0,3318.08,1527.37,267.29,1527.37,267.29,313.37,0.0,0.0
861f1d4d7ffffff,2017-03-13T00:00:00.0,2822.52,1179.02,206.33,1143.3,200.08,293.86,35.72000000000003,6.25
861f1d49fffffff,2017-03-13T00:00:00.0,1867.0,911.1,159.44,970.84,169.9,156.83,-59.74000000000001,-10.460000000000008
861f18b27ffffff,2017-03-13T00:00:00.0,1965.22,1057.05,184.98,1057.05,184.98,158.93,0.0,0.0
861f1d4f7ffffff,2017-03-13T00:00:00.0,1288.44,515.38,90.19,515.38,90.19,135.29,0.0,0.0
861f1d487ffffff,2017-03-13T00:00:00.0,781.04,405.54,70.97,405.54,70.97,65.71,0.0,0.0
861f1d4afffffff,2017-03-13T00:00:00.0,942.07,481.06,84.18,481.06,84.18,80.68,0.0,0.0
861f18b37ffffff,2017-03-13T00:00:00.0,926.03,350.39,61.32,350.39,61.32,100.74,0.0,0.0
861f18b2fffffff,2017-03-13T00:00:00.0,283.97,173.54,30.37,189.31,33.13,16.56,-15.77000000000001,-2.7600000000000016
861f1886fffffff,2017-03-13T00:00:00.0,266.0,106.4,18.62,0.0,0.0,46.55,106.4,18.62
861f1d4b7ffffff,2017-03-13T00:00:00.0,267.98,252.22,44.14,252.22,44.14,2.76,0.0,0.0
861f18b0fffffff,2017-03-13T00:00:00.0,63.0,21.0,3.68,21.0,3.68,7.35,0.0,0.0
861f1d4dfffffff,2017-03-13T00:00:00.0,60.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0
861f1d48fffffff,2017-03-13T06:00:00.0,20135.0,9749.77,1706.21,9749.77,1706.21,1817.42,0.0,0.0
861f1d4d7ffffff,2017-03-13T06:00:00.0,16344.92,7064.16,1236.23,6919.14,1210.85,1649.51,145.01999999999953,25.38000000000011
861f1d49fffffff,2017-03-13T06:00:00.0,11386.88,5622.27,983.9,5817.98,1018.15,974.56,-195.70999999999913,-34.25
861f18b27ffffff,2017-03-13T06:00:00.0,9575.37,4900.46,857.58,4900.46,857.58,818.11,0.0,0.0
861f1d4f7ffffff,2017-03-13T06:00:00.0,7735.19,3233.36,565.84,3109.0,544.08,809.58,124.36000000000013,21.75999999999999
861f1d487ffffff,2017-03-13T06:00:00.0,5675.88,2712.12,474.62,2432.52,425.69,567.59,279.5999999999999,48.93000000000001
861f1d4afffffff,2017-03-13T06:00:00.0,3641.52,1953.4,341.84,2049.86,358.73,278.54,-96.46000000000004,-16.890000000000043
861f18b37ffffff,2017-03-13T06:00:00.0,2407.61,1109.39,194.14,1109.39,194.14,227.19,0.0,0.0
861f18b2fffffff,2017-03-13T06:00:00.0,853.53,435.14,76.15,569.02,99.58,49.79,-133.88,-23.429999999999993
861f1886fffffff,2017-03-13T06:00:00.0,1589.17,583.78,102.16,97.3,17.03,261.08,486.47999999999996,85.13
861f1d4b7ffffff,2017-03-13T06:00:00.0,645.54,590.21,103.29,608.65,106.51,6.46,-18.43999999999994,-3.219999999999999
861f18b0fffffff,2017-03-13T06:00:00.0,176.0,88.0,15.4,88.0,15.4,15.4,0.0,0.0
861f1d4dfffffff,2017-03-13T06:00:00.0,400.25,88.94,15.57,22.24,3.89,66.15,66.7,11.68
861f1d48fffffff,2017-03-13T12:00:00.0,32676.48,16826.24,2944.59,16748.16,2930.93,2787.46,78.08000000000175,13.66000000000031
861f1d4d7ffffff,2017-03-13T12:00:00.0,14180.4,5653.98,989.45,5581.26,976.72,1504.85,72.71999999999935,12.730000000000018
861f1d49fffffff,2017-03-13T12:00:00.0,16865.03,8472.29,1482.65,8472.29,1482.65,1468.73,0.0,0.0
861f18b27ffffff,2017-03-13T12:00:00.0,11423.1,5730.1,1002.77,5711.55,999.52,999.52,18.550000000000182,3.25
861f1d4f7ffffff,2017-03-13T12:00:00.0,5594.51,2166.3,379.1,2124.23,371.74,607.3,42.070000000000164,7.360000000000014
861f1d487ffffff,2017-03-13T12:00:00.0,5025.33,2445.96,428.04,2379.25,416.37,463.06,66.71000000000004,11.670000000000016
861f1d4afffffff,2017-03-13T12:00:00.0,3423.89,2107.01,368.73,2085.06,364.89,234.29,21.950000000000273,3.840000000000032
861f18b37ffffff,2017-03-13T12:00:00.0,3096.85,1624.58,284.3,1599.19,279.86,262.09,25.389999999999873,4.439999999999998
861f18b2fffffff,2017-03-13T12:00:00.0,1052.0,631.2,110.46,673.28,117.82,66.28,-42.07999999999993,-7.359999999999999
861f1886fffffff,2017-03-13T12:00:00.0,1244.24,269.02,47.08,67.26,11.77,205.97,201.76,35.31
861f1d4b7ffffff,2017-03-13T12:00:00.0,1038.06,1014.99,177.62,991.92,173.59,8.07,23.07000000000005,4.030000000000001
861f18b0fffffff,2017-03-13T12:00:00.0,405.68,202.84,35.5,202.84,35.5,35.5,0.0,0.0
861f1d4dfffffff,2017-03-13T12:00:00.0,922.1,230.52,40.34,98.8,17.29,144.08,131.72000000000003,23.050000000000004
861f1d48fffffff,2017-03-13T18:00:00.0,19083.37,10439.58,1826.93,10295.92,1801.79,1537.8,143.65999999999985,25.1400000000001
861f1d4d7ffffff,2017-03-13T18:00:00.0,13362.69,6645.1,1162.89,6596.77,1154.44,1184.04,48.32999999999993,8.450000000000045
861f1d49fffffff,2017-03-13T18:00:00.0,12225.27,7579.15,1326.35,7449.37,1303.64,835.78,129.77999999999975,22.70999999999981
